road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.866666666666667,33.33498233215547,-1.6,Blue,2024-09-28T02:00:30.479133,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.7,25.23157894736842,-1.2833333333333334,Blue,2024-09-28T02:00:30.606628,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.366666666666667,37.90533562822719,-0.5333333333333333,Blue,2024-09-28T02:00:30.713819,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.9,85.67573964497043,-1.35,Blue,2024-09-28T02:00:30.836064,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.25,93.29066666666667,-1.0333333333333334,Blue,2024-09-28T02:00:30.926806,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5166666666666666,46.27109004739337,-0.5833333333333334,Blue,2024-09-28T02:00:31.025948,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-28T02:00:31.114876,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.683333333333334,95.24267877412031,-0.5,Blue,2024-09-28T02:00:31.171552,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.333333333333333,52.74947368421052,-0.03333333333333333,Blue,2024-09-28T02:00:31.263248,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.616666666666667,57.43387732132808,-1.0166666666666666,Blue,2024-09-28T02:00:31.364355,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-09-28T02:00:31.444573,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.5,62.85913043478261,-1.15,Blue,2024-09-28T02:00:31.519814,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0166666666666666,40.33591160220995,-0.03333333333333333,Blue,2024-09-28T02:00:31.660897,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.633333333333333,45.92878464818764,-1.7,Blue,2024-09-28T02:00:31.736333,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.0,43.2,-0.6,Blue,2024-09-28T02:00:31.821298,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,20.316666666666666,65.47038556193601,0.8833333333333333,Blue,2024-09-28T02:00:31.898602,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.366666666666667,38.554114713216954,0.26666666666666666,Blue,2024-09-28T02:00:32.004960,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.333333333333334,43.9155,-1.0333333333333334,Blue,2024-09-28T02:00:32.081867,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
