road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.0,33.101052631578945,-1.4666666666666666,Blue,2024-09-28T08:00:30.174975,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-09-28T08:00:30.310059,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-28T08:00:30.420244,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.816666666666666,86.10029732408326,-1.4333333333333333,Blue,2024-09-28T08:00:30.521382,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,22.79,20.616666666666667,66.32497978981405,-1.1666666666666667,Blue,2024-09-28T08:00:30.613909,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.683333333333333,44.177375565610866,-0.4166666666666667,Blue,2024-09-28T08:00:30.702026,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-28T08:00:30.803371,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.35,97.45505226480836,-0.8333333333333334,Blue,2024-09-28T08:00:30.869447,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.533333333333333,51.13469387755102,0.16666666666666666,Blue,2024-09-28T08:00:30.954080,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.983333333333334,50.108397855866585,-3.3833333333333333,Blue,2024-09-28T08:00:31.050059,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.3,44.63225806451613,-0.3,Blue,2024-09-28T08:00:31.131905,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.45,63.133624454148475,-1.2,Blue,2024-09-28T08:00:31.233392,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-28T08:00:31.324185,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.216666666666665,39.41555352241537,0.8833333333333333,Yellow,2024-09-28T08:00:31.438291,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
