road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,23.166666666666668,27.147625899280573,2.7,Yellow,2024-09-28T16:00:30.575673,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.666666666666667,21.572999999999997,-0.31666666666666665,Blue,2024-09-28T16:00:30.701315,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.283333333333335,38.069144338807256,-0.6166666666666667,Blue,2024-09-28T16:00:30.816367,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.783333333333335,73.1888795282224,1.5333333333333334,Yellow,2024-09-28T16:00:30.939602,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.183333333333334,86.1439124487004,-0.1,Blue,2024-09-28T16:00:31.037327,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,7.7,21.132467532467533,3.6,Red,2024-09-28T16:00:31.143099,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-28T16:00:31.268606,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.816666666666666,78.49279700654817,2.6333333333333333,Yellow,2024-09-28T16:00:31.313363,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.333333333333333,52.74947368421052,-0.03333333333333333,Blue,2024-09-28T16:00:31.436328,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.616666666666667,59.44088526499709,-2.0166666666666666,Blue,2024-09-28T16:00:31.547596,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-28T16:00:31.661416,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.59,13.166666666666666,61.92911392405063,-0.9,Blue,2024-09-28T16:00:31.754349,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9,41.95862068965518,-0.15,Blue,2024-09-28T16:00:31.856470,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.766666666666666,32.98713629402757,4.433333333333334,Orange,2024-09-28T16:00:31.948356,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.216666666666667,34.6627043090639,1.6166666666666667,Yellow,2024-09-28T16:00:32.042089,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,22.169,18.816666666666666,70.68945969884854,-0.6166666666666667,Blue,2024-09-28T16:00:32.140379,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.483333333333333,41.28224299065421,-0.6166666666666667,Blue,2024-09-28T16:00:32.310821,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.516666666666667,40.33570608495982,0.15,Blue,2024-09-28T16:00:32.455886,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,14.366666666666667,35.0352668213457,3.066666666666667,Orange,2024-09-28T16:00:32.551162,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.9,50.08837209302326,-0.75,Blue,2024-09-28T16:00:32.645368,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.016666666666666,46.800000000000004,-0.8666666666666667,Blue,2024-09-28T16:00:32.730575,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.95,71.1057915057915,-0.36666666666666664,Blue,2024-09-28T16:00:32.840204,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.1,43.670588235294126,0.26666666666666666,Yellow,2024-09-28T16:00:32.925928,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.883333333333333,45.25328330206379,-0.6833333333333333,Blue,2024-09-28T16:00:33.023692,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-28T16:00:33.244617,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.333333333333334,74.2464,-0.5,Blue,2024-09-28T16:00:33.421114,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.4,67.64032258064516,-1.25,Blue,2024-09-28T16:00:33.514991,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.183333333333334,68.35369774919614,-0.06666666666666667,Blue,2024-09-28T16:00:33.606588,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.766666666666666,77.16570537802028,2.4833333333333334,Yellow,2024-09-28T16:00:33.716788,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,25.75,73.40271844660194,0.08333333333333333,Blue,2024-09-28T16:00:33.852291,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.6,87.63698630136986,0.016666666666666666,Blue,2024-09-28T16:00:33.934298,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,29.1,64.74639175257731,1.5666666666666667,Yellow,2024-09-28T16:00:34.043442,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.683333333333334,82.82072936660269,0.2,Blue,2024-09-28T16:00:34.138640,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.65,41.09132947976879,-0.2833333333333333,Blue,2024-09-28T16:00:34.320348,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.4833333333333334,36.93014354066986,0.3,Yellow,2024-09-28T16:00:34.428020,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.566666666666666,108.52807570977917,-1.2666666666666666,Blue,2024-09-28T16:00:34.516201,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
