road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.8,30.23653846153846,0.3333333333333333,Blue,2024-09-28T19:00:30.656499,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.883333333333334,24.445325779036825,-1.1,Blue,2024-09-28T19:00:30.759871,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.333333333333332,37.970689655172414,-0.5666666666666667,Blue,2024-09-28T19:00:30.865894,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.5,87.75272727272727,-1.75,Blue,2024-09-28T19:00:30.989232,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.616666666666667,90.34605451936872,-0.6666666666666666,Blue,2024-09-28T19:00:31.089558,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.683333333333334,34.74448398576513,0.5833333333333334,Yellow,2024-09-28T19:00:31.221567,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-28T19:00:31.337551,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.283333333333333,97.90991831971995,-0.9,Blue,2024-09-28T19:00:31.399669,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-28T19:00:31.500977,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.45,57.75891341256367,-1.1833333333333333,Blue,2024-09-28T19:00:31.591319,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-28T19:00:31.671603,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.416666666666666,62.51904,-1.05,Blue,2024-09-28T19:00:31.762147,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
