road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.816666666666666,33.423560673162086,-1.65,Blue,2024-09-28T21:00:30.063288,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.7,25.23157894736842,-1.2833333333333334,Blue,2024-09-28T21:00:30.163510,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.133333333333333,38.36759581881533,-0.7666666666666667,Blue,2024-09-28T21:00:30.263040,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.533333333333335,87.57580645161289,-1.7166666666666666,Blue,2024-09-28T21:00:30.377175,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.316666666666666,92.74108983799705,-0.9666666666666667,Blue,2024-09-28T21:00:30.460770,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.816666666666667,42.63406113537118,-0.2833333333333333,Blue,2024-09-28T21:00:30.560807,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-28T21:00:30.645156,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.133333333333333,98.94905660377358,-1.05,Blue,2024-09-28T21:00:30.685336,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.266666666666667,53.31063829787234,-0.1,Blue,2024-09-28T21:00:30.772207,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.016666666666666,58.62148190695003,-1.6166666666666667,Blue,2024-09-28T21:00:30.869128,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-28T21:00:30.945386,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
