road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.966666666666665,33.15922671353252,-1.5,Blue,2024-09-28T23:00:30.179703,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.766666666666667,24.939884393063583,-1.2166666666666666,Blue,2024-09-28T23:00:30.298108,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-28T23:00:30.408250,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.633333333333333,87.0492985971944,-1.6166666666666667,Blue,2024-09-28T23:00:30.513464,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.083333333333334,94.69353383458646,-1.2,Blue,2024-09-28T23:00:30.654109,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.3666666666666667,48.33267326732673,-0.7333333333333333,Blue,2024-09-28T23:00:30.764077,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.05,48.35140186915887,-0.4166666666666667,Blue,2024-09-28T23:00:30.851584,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.266666666666667,98.02429906542056,-0.9166666666666666,Blue,2024-09-28T23:00:30.895075,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-28T23:00:30.984955,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,31.933333333333334,43.79561586638831,-0.15,Blue,2024-09-28T23:00:31.082827,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-28T23:00:31.164973,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.2,63.847058823529416,-1.2666666666666666,Blue,2024-09-28T23:00:31.272949,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-28T23:00:31.356773,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
