road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.383333333333333,34.21142339075249,-2.0833333333333335,Blue,2024-09-29T00:00:30.426000,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.8,24.79655172413793,-1.1833333333333333,Blue,2024-09-29T00:00:30.536396,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.833333333333332,37.01344537815126,-0.06666666666666667,Blue,2024-09-29T00:00:30.642834,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.05,84.92199413489736,-1.2,Blue,2024-09-29T00:00:30.737068,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.783333333333333,89.06817538896748,-0.5,Blue,2024-09-29T00:00:30.847241,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6333333333333333,44.785321100917436,-0.4666666666666667,Blue,2024-09-29T00:00:30.941493,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-29T00:00:31.030468,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.416666666666666,97.00439306358382,-0.7666666666666667,Blue,2024-09-29T00:00:31.072988,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.9,48.417391304347824,0.5333333333333333,Yellow,2024-09-29T00:00:31.160671,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.1,46.46312292358804,-1.9833333333333334,Blue,2024-09-29T00:00:31.257784,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-29T00:00:31.329631,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.2,63.847058823529416,-1.2666666666666666,Blue,2024-09-29T00:00:31.411741,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-09-29T00:00:31.483753,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.033333333333335,44.78295218295218,-1.3,Blue,2024-09-29T00:00:31.563811,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.533333333333333,45.5625,-1.0666666666666667,Blue,2024-09-29T00:00:31.641206,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.783333333333333,43.15129650507328,-0.16666666666666666,Blue,2024-09-29T00:00:31.735894,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-29T00:00:31.808875,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.783333333333333,42.48174123337364,-0.5833333333333334,Blue,2024-09-29T00:00:31.888361,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.966666666666667,45.89726443768996,-0.3333333333333333,Blue,2024-09-29T00:00:31.978950,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.933333333333334,54.14581005586592,-1.7166666666666666,Blue,2024-09-29T00:00:32.071616,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.983333333333333,46.89760166840459,-0.9,Blue,2024-09-29T00:00:32.151430,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.357,18.283333333333335,50.39671832269826,4.433333333333334,Orange,2024-09-29T00:00:32.226810,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.133333333333334,43.38701298701299,0.3,Yellow,2024-09-29T00:00:32.310708,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.833333333333334,45.509433962264154,-0.7333333333333333,Blue,2024-09-29T00:00:32.387349,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T00:00:32.467837,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.25,66.88864864864864,0.4166666666666667,Blue,2024-09-29T00:00:32.550408,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.783333333333333,60.851753325272064,0.13333333333333333,Blue,2024-09-29T00:00:32.615633,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.15,68.79611650485437,-0.1,Blue,2024-09-29T00:00:32.687100,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.18333333333333,78.23279336230739,1.9,Blue,2024-09-29T00:00:32.767483,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.5,80.43063829787233,-2.1666666666666665,Blue,2024-09-29T00:00:32.847530,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.85,92.3826714801444,-0.7333333333333333,Blue,2024-09-29T00:00:32.915512,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.733333333333334,70.4783042394015,-0.8,Blue,2024-09-29T00:00:32.988489,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.116666666666667,88.6028747433265,-0.36666666666666664,Blue,2024-09-29T00:00:33.079384,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.3,42.82409638554217,-0.6333333333333333,Blue,2024-09-29T00:00:33.150969,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,2.8833333333333333,44.61502890173411,-0.3,Blue,2024-09-29T00:00:33.232311,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,16.283333333333335,70.42661207778914,4.45,Orange,2024-09-29T00:00:33.307775,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,24.282,19.283333333333335,75.5533275713051,-3.7333333333333334,Blue,2024-09-29T00:00:33.397364,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.683333333333333,42.10859728506787,-0.6666666666666666,Blue,2024-09-29T00:00:33.492891,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.55,57.59587628865979,0.9833333333333333,Yellow,2024-09-29T00:00:33.575907,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.033333333333333,82.85063938618926,-0.9333333333333333,Blue,2024-09-29T00:00:33.647361,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,8.716666666666667,54.30975143403441,-1.95,Blue,2024-09-29T00:00:33.721290,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.15,81.09938650306748,0.0,Blue,2024-09-29T00:00:33.783352,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,16.633333333333333,70.61122244488978,4.483333333333333,Orange,2024-09-29T00:00:33.817387,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,12.816666666666666,35.66762028608582,5.283333333333333,Red,2024-09-29T00:00:33.894900,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.733333333333333,61.78695652173914,0.13333333333333333,Blue,2024-09-29T00:00:33.968841,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
