road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.6,30.530097087378635,0.13333333333333333,Blue,2024-09-29T03:00:30.096143,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.733333333333333,25.08488372093023,-1.25,Blue,2024-09-29T03:00:30.187984,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.966666666666665,38.70474516695958,-0.9333333333333333,Blue,2024-09-29T03:00:30.277184,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.016666666666666,90.40083246618107,-2.2333333333333334,Blue,2024-09-29T03:00:30.372356,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.783333333333333,97.32797527047914,-1.5,Blue,2024-09-29T03:00:30.458010,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.966666666666667,41.0218487394958,-0.13333333333333333,Blue,2024-09-29T03:00:30.565694,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.75,49.27238095238095,-0.7166666666666667,Blue,2024-09-29T03:00:30.656790,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,13.85,100.97328519855596,-1.3333333333333333,Blue,2024-09-29T03:00:30.701335,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.666666666666667,58.95529411764705,-0.7,Blue,2024-09-29T03:00:30.785554,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,27.766666666666666,61.260504201680675,-2.8666666666666667,Blue,2024-09-29T03:00:30.856662,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-29T03:00:30.933822,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.0,65.124,-1.4666666666666666,Blue,2024-09-29T03:00:31.027775,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-09-29T03:00:31.102261,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.283333333333333,46.98058887677208,-2.05,Blue,2024-09-29T03:00:31.193566,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-09-29T03:00:31.269175,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.8,43.1027027027027,-0.15,Blue,2024-09-29T03:00:31.339739,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.75,40.41882352941177,-0.35,Blue,2024-09-29T03:00:31.407354,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.35,47.412145748987854,-2.0166666666666666,Blue,2024-09-29T03:00:31.487181,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.633333333333333,43.26704871060171,0.3333333333333333,Blue,2024-09-29T03:00:31.560163,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,11.966666666666667,53.994986072423394,-1.6833333333333333,Blue,2024-09-29T03:00:31.636897,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.05,46.702803738317755,-0.8333333333333334,Blue,2024-09-29T03:00:31.706136,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.883333333333333,77.4883590462833,-1.4333333333333333,Blue,2024-09-29T03:00:31.784638,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.583333333333333,48.593454545454556,-0.25,Blue,2024-09-29T03:00:31.857167,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.183333333333334,43.774954627949185,-0.38333333333333336,Blue,2024-09-29T03:00:31.938412,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T03:00:32.033997,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,7.85,78.81783439490445,-0.9833333333333333,Blue,2024-09-29T03:00:32.140859,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,11.833333333333334,70.8794366197183,-1.8166666666666667,Blue,2024-09-29T03:00:32.204313,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.816666666666666,73.55709342560554,-0.43333333333333335,Blue,2024-09-29T03:00:32.276473,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.7,77.28618266978923,2.4166666666666665,Yellow,2024-09-29T03:00:32.362883,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.033333333333335,82.0602026049204,-2.6333333333333333,Blue,2024-09-29T03:00:32.445004,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.15,97.30038022813687,-1.4333333333333333,Blue,2024-09-29T03:00:32.518148,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,24.783333333333335,76.02367182246134,-2.75,Blue,2024-09-29T03:00:32.607619,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.716666666666667,93.19568034557236,-0.7666666666666667,Blue,2024-09-29T03:00:32.675669,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.0,44.43000000000001,-0.9333333333333333,Blue,2024-09-29T03:00:32.752142,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.55,36.23661971830986,0.36666666666666664,Yellow,2024-09-29T03:00:32.834252,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.583333333333334,108.3571653543307,-1.25,Blue,2024-09-29T03:00:32.934973,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.452,19.516666666666666,59.80119555935099,1.7166666666666666,Yellow,2024-09-29T03:00:33.006064,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.8833333333333333,39.93991416309013,-0.4666666666666667,Blue,2024-09-29T03:00:33.090395,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.75,65.72705882352942,-0.8166666666666667,Blue,2024-09-29T03:00:33.174277,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.266666666666667,88.02880434782608,-1.7,Blue,2024-09-29T03:00:33.239718,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.166666666666666,51.64363636363637,-1.5,Blue,2024-09-29T03:00:33.309656,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.65,86.4,-0.5,Blue,2024-09-29T03:00:33.374733,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,10.916666666666666,107.58778625954199,-1.2333333333333334,Blue,2024-09-29T03:00:33.408470,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.683333333333334,68.39999999999999,-0.85,Blue,2024-09-29T03:00:33.475962,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.4,70.55106382978724,-1.2,Blue,2024-09-29T03:00:33.555246,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.6,90.7,-1.4833333333333334,Blue,2024-09-29T03:00:33.627913,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.016666666666667,77.77597042513862,-0.95,Blue,2024-09-29T03:00:33.698316,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,17.95,38.32311977715878,-0.7333333333333333,Blue,2024-09-29T03:00:33.791890,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.2,85.91739130434783,-1.4833333333333334,Blue,2024-09-29T03:00:33.859310,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,7.533333333333333,86.34424778761061,-0.9166666666666666,Blue,2024-09-29T03:00:33.933444,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.45,41.721739130434784,-0.26666666666666666,Blue,2024-09-29T03:00:34.002791,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,19.116666666666667,55.69485614646905,0.65,Blue,2024-09-29T03:00:34.077377,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,9.916666666666666,76.2473949579832,-3.2,Blue,2024-09-29T03:00:34.155259,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,4.983333333333333,24.94715719063545,-0.4,Blue,2024-09-29T03:00:34.236253,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,19.016666666666666,88.57072743207713,-3.533333333333333,Blue,2024-09-29T03:00:34.335136,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,9.333333333333334,39.34928571428571,-0.11666666666666667,Blue,2024-09-29T03:00:34.407209,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,12.9,77.63255813953488,-3.45,Blue,2024-09-29T03:00:34.492344,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,8.516666666666667,89.00665362035224,-1.1,Blue,2024-09-29T03:00:34.567247,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,9.216666666666667,31.358408679927667,-0.6166666666666667,Blue,2024-09-29T03:00:34.633909,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.433333333333334,70.19168591224019,-1.1833333333333333,Blue,2024-09-29T03:00:34.734044,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,11.833333333333334,73.2625352112676,-2.6166666666666667,Blue,2024-09-29T03:00:34.824556,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.5833333333333335,39.61674418604651,-0.35,Blue,2024-09-29T03:00:34.894265,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,18.7,92.24598930481284,-1.7,Blue,2024-09-29T03:00:34.995678,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,4.833333333333333,42.405517241379314,-0.6666666666666666,Blue,2024-09-29T03:00:35.077682,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,18.05,44.60277008310249,-0.11666666666666667,Blue,2024-09-29T03:00:35.148575,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,12.583333333333334,54.37668874172185,0.18333333333333332,Blue,2024-09-29T03:00:35.225282,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,6.533333333333333,51.300000000000004,0.9666666666666667,Yellow,2024-09-29T03:00:35.292472,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,12.8,60.740624999999994,-1.5166666666666666,Blue,2024-09-29T03:00:35.366558,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.216666666666665,45.41006404391583,-3.2333333333333334,Blue,2024-09-29T03:00:35.452424,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,23.283333333333335,62.287473156764484,2.1,Yellow,2024-09-29T03:00:35.542085,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,20.75,64.96481927710843,2.9166666666666665,Yellow,2024-09-29T03:00:35.623805,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,2.9166666666666665,41.78057142857143,-0.16666666666666666,Blue,2024-09-29T03:00:35.696413,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,15.883333333333333,69.86190975865688,-4.133333333333334,Blue,2024-09-29T03:00:35.774116,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,6.05,60.138842975206614,-1.25,Blue,2024-09-29T03:00:35.863228,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,13.8,48.80869565217392,2.183333333333333,Yellow,2024-09-29T03:00:35.933815,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.113,11.966666666666667,55.71977715877437,-1.45,Blue,2024-09-29T03:00:36.028928,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,11.952,10.6,67.65283018867925,-2.3666666666666667,Blue,2024-09-29T03:00:36.103940,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.133,10.866666666666667,55.94907975460122,-1.3333333333333333,Blue,2024-09-29T03:00:36.183157,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,10.216666666666667,62.0163132137031,-1.7166666666666666,Blue,2024-09-29T03:00:36.258012,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
Al Abbas Al Rashidi St.,10.233,11.333333333333334,54.17470588235294,-1.6666666666666667,Blue,2024-09-29T03:00:36.348949,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)"
Imam Malik Road,10.762,12.4,52.0741935483871,-2.15,Blue,2024-09-29T03:00:36.423239,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)"
Imam Malik Road,10.953,7.116666666666666,92.34379391100703,-0.95,Blue,2024-09-29T03:00:36.505559,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)"
طريق الأمير سعد بن عبدالرحمن الأول,15.411,17.95,51.51309192200557,0.4,Blue,2024-09-29T03:00:36.585458,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)"
طريق الأمير سعد بن عبدالرحمن الأول,5.948,5.666666666666667,62.97882352941176,-1.1833333333333333,Blue,2024-09-29T03:00:36.664304,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)"
Al Muhareb,11.769,11.45,61.671615720524024,-3.933333333333333,Blue,2024-09-29T03:00:36.742997,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)"
Al Muhareb,8.708,8.783333333333333,59.48538899430741,-0.6166666666666667,Blue,2024-09-29T03:00:36.818088,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)"
Othman Bin Affan Road,13.485,10.083333333333334,80.24132231404958,-1.1833333333333333,Blue,2024-09-29T03:00:36.911292,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)"
Othman Bin Affan Road,5.705,6.366666666666666,53.76439790575917,-1.3666666666666667,Blue,2024-09-29T03:00:36.981812,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)"
Al Nahdha road,10.89,10.016666666666667,65.23128119800333,-2.7,Blue,2024-09-29T03:00:37.075218,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)"
