road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.553,21.4,29.587850467289726,-0.016666666666666666,Blue,2024-09-29T04:00:30.345437,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.6,21.79090909090909,-0.38333333333333336,Blue,2024-09-29T04:00:30.441977,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.933333333333334,38.772887323943664,-0.9666666666666667,Blue,2024-09-29T04:00:30.544291,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-09-29T04:00:30.633054,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.233333333333333,93.42908011869437,-1.05,Blue,2024-09-29T04:00:30.712395,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.116666666666666,39.52712550607288,0.016666666666666666,Blue,2024-09-29T04:00:30.802125,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.783333333333333,49.168321013727564,-0.6833333333333333,Blue,2024-09-29T04:00:30.884208,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.216666666666667,91.90449069003286,0.03333333333333333,Blue,2024-09-29T04:00:30.927311,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.883333333333334,56.7841359773371,-0.48333333333333334,Blue,2024-09-29T04:00:31.035638,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,27.966666666666665,60.82240762812873,-2.6666666666666665,Blue,2024-09-29T04:00:31.111686,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.3,44.63225806451613,-0.3,Blue,2024-09-29T04:00:31.185786,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,11.764,12.9,54.71627906976744,-0.45,Blue,2024-09-29T04:00:31.252934,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1333333333333333,38.834042553191495,0.08333333333333333,Blue,2024-09-29T04:00:31.324631,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,14.883333333333333,48.243225083986566,-2.45,Blue,2024-09-29T04:00:31.402901,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.783333333333333,44.265654648956364,-0.8166666666666667,Blue,2024-09-29T04:00:31.484517,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.933333333333334,42.71785714285714,-0.016666666666666666,Blue,2024-09-29T04:00:31.554223,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.4,41.55967741935484,-0.7,Blue,2024-09-29T04:00:31.619821,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,11.8,49.622033898305084,-2.566666666666667,Blue,2024-09-29T04:00:31.690287,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.633333333333333,47.33605015673981,-0.6666666666666666,Blue,2024-09-29T04:00:31.761504,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.116666666666667,53.32654745529573,-1.5333333333333334,Blue,2024-09-29T04:00:31.839357,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
