road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.933333333333334,33.21760563380282,-1.5333333333333334,Blue,2024-09-29T05:00:30.109369,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.35,22.648818897637796,-0.6333333333333333,Blue,2024-09-29T05:00:30.218255,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.616666666666667,37.42225998300765,-0.2833333333333333,Blue,2024-09-29T05:00:30.307333,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.616666666666667,73.8107051826678,1.3666666666666667,Yellow,2024-09-29T05:00:30.394324,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.8,66.4253164556962,3.5166666666666666,Orange,2024-09-29T05:00:30.479808,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6166666666666667,44.99170506912443,-0.48333333333333334,Blue,2024-09-29T05:00:30.560792,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.9,48.807547169811315,-0.5666666666666667,Blue,2024-09-29T05:00:30.651346,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.116666666666667,77.1930082796688,2.933333333333333,Yellow,2024-09-29T05:00:30.693657,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.983333333333333,55.83509749303621,-0.38333333333333336,Blue,2024-09-29T05:00:30.778603,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.016666666666666,51.901295496607034,-4.35,Blue,2024-09-29T05:00:30.856761,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-29T05:00:30.938424,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,10.854,10.816666666666666,60.207087827426804,-0.65,Blue,2024-09-29T05:00:31.010338,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
