road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.783333333333335,31.790395956192075,-0.6833333333333333,Blue,2024-09-29T07:00:30.256914,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-29T07:00:30.425183,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.2,38.234375,-0.7,Blue,2024-09-29T07:00:30.547792,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.142,27.183333333333334,53.28706315144083,8.616666666666667,Orange,2024-09-29T07:00:30.671331,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,16.583333333333332,63.28763819095479,4.3,Orange,2024-09-29T07:00:30.781804,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5166666666666666,46.27109004739337,-0.5833333333333334,Blue,2024-09-29T07:00:30.884654,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-29T07:00:30.979161,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.319,27.116666666666667,51.59704978488015,11.633333333333333,Red,2024-09-29T07:00:31.115849,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,7.016666666666667,70.79429928741092,0.1,Blue,2024-09-29T07:00:31.211983,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.416666666666668,51.144072948328265,-3.95,Blue,2024-09-29T07:00:31.310014,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-29T07:00:31.391098,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.783333333333333,61.347666195190946,-0.8666666666666667,Blue,2024-09-29T07:00:31.475069,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.6,46.8,-0.45,Blue,2024-09-29T07:00:31.575912,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
