road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.733333333333334,33.57224199288256,-1.7333333333333334,Blue,2024-09-29T08:00:30.070998,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-09-29T08:00:30.169776,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.883333333333333,38.87555163283318,-1.0166666666666666,Blue,2024-09-29T08:00:30.280969,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.083333333333332,84.75629268292684,-1.1666666666666667,Blue,2024-09-29T08:00:30.401002,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.1,80.11603053435115,0.8166666666666667,Yellow,2024-09-29T08:00:30.520316,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6666666666666665,44.37818181818182,-0.43333333333333335,Blue,2024-09-29T08:00:30.635856,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.983333333333333,48.553076120959325,-0.48333333333333334,Blue,2024-09-29T08:00:30.734478,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.116666666666667,92.51245865490627,-0.06666666666666667,Blue,2024-09-29T08:00:30.784166,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.3,53.028571428571425,-0.06666666666666667,Blue,2024-09-29T08:00:30.872918,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.004,27.783333333333335,49.67870425914817,-4.166666666666667,Blue,2024-09-29T08:00:30.961362,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.75,42.57230769230769,0.15,Blue,2024-09-29T08:00:31.051029,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-09-29T08:00:31.132105,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.6666666666666665,45.63,-0.38333333333333336,Blue,2024-09-29T08:00:31.225158,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,21.433333333333334,33.500155520995335,4.1,Orange,2024-09-29T08:00:31.318738,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.983333333333333,43.28014842300558,-0.6166666666666667,Blue,2024-09-29T08:00:31.405369,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,13.966666666666667,45.6744630071599,-0.9833333333333333,Blue,2024-09-29T08:00:31.484084,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.6,40.900000000000006,-0.5,Blue,2024-09-29T08:00:31.557109,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,15.033333333333333,58.462084257206214,0.05,Blue,2024-09-29T08:00:31.643843,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.566666666666666,43.516426512968295,0.26666666666666666,Blue,2024-09-29T08:00:31.720333,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.016666666666667,53.77031900138696,-1.6333333333333333,Blue,2024-09-29T08:00:31.818988,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,14.966666666666667,50.08329621380847,-1.9166666666666667,Blue,2024-09-29T08:00:31.892948,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.05,65.53879003558718,0.7333333333333333,Yellow,2024-09-29T08:00:31.974115,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.016666666666667,44.396013289036546,0.18333333333333332,Blue,2024-09-29T08:00:32.052341,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.016666666666667,44.584103512014785,-0.55,Blue,2024-09-29T08:00:32.142966,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T08:00:32.345121,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.466666666666667,73.0771653543307,-0.36666666666666664,Blue,2024-09-29T08:00:32.450224,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.316666666666666,68.09797023004059,-1.3333333333333333,Blue,2024-09-29T08:00:32.523223,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
