road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,18.85,33.526790450928374,-1.7333333333333334,Blue,2024-09-29T09:00:29.532148,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-29T09:00:29.621081,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.95,38.73878627968338,-0.95,Blue,2024-09-29T09:00:29.731399,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-09-29T09:00:29.839897,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.933333333333334,87.94860335195531,-0.35,Blue,2024-09-29T09:00:29.946856,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.133333333333334,39.36774193548386,0.03333333333333333,Blue,2024-09-29T09:00:30.044918,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-29T09:00:30.143166,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.55,96.11546391752576,-0.6333333333333333,Blue,2024-09-29T09:00:30.184282,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-29T09:00:30.277237,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.666666666666668,57.337078651685395,-0.9666666666666667,Blue,2024-09-29T09:00:30.374538,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
