road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.65,33.722252010723864,-1.8166666666666667,Blue,2024-09-29T11:00:30.141592,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-29T11:00:30.280297,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,18.966666666666665,38.70474516695958,-0.9333333333333333,Blue,2024-09-29T11:00:30.400013,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.216666666666665,84.09990319457891,-1.0333333333333334,Blue,2024-09-29T11:00:30.504851,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.866666666666667,88.44269662921349,-0.4166666666666667,Blue,2024-09-29T11:00:30.613689,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.95,41.19493670886076,-0.15,Blue,2024-09-29T11:00:30.728799,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.933333333333334,48.70543933054393,-0.5333333333333333,Blue,2024-09-29T11:00:30.836426,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.033333333333333,93.02527716186253,-0.15,Blue,2024-09-29T11:00:30.879491,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.1,54.7672131147541,-0.26666666666666666,Blue,2024-09-29T11:00:30.984335,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.816666666666666,50.40862792091073,-3.55,Blue,2024-09-29T11:00:31.073726,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-29T11:00:31.205476,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.466666666666667,63.04186046511628,-1.1833333333333333,Blue,2024-09-29T11:00:31.308812,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9,41.95862068965518,-0.15,Blue,2024-09-29T11:00:31.398663,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.483333333333334,43.56036400404449,-0.85,Blue,2024-09-29T11:00:31.497908,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.65,44.94797687861272,-0.95,Blue,2024-09-29T11:00:31.601442,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
