road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.183333333333334,32.94422241529105,-1.4,Blue,2024-09-29T13:00:30.404418,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.25,23.0112,-0.7333333333333333,Blue,2024-09-29T13:00:30.509007,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.166666666666668,38.30086956521738,-0.7333333333333333,Blue,2024-09-29T13:00:30.605906,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.416666666666668,70.9185306122449,2.1666666666666665,Yellow,2024-09-29T13:00:30.713528,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,28.066666666666666,37.436579572446554,14.95,Dark Red,2024-09-29T13:00:30.831333,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.9,23.582608695652173,2.8,Red,2024-09-29T13:00:30.945775,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-09-29T13:00:31.038276,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.466666666666665,75.72996389891698,3.283333333333333,Orange,2024-09-29T13:00:31.083094,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.3,53.028571428571425,-0.06666666666666667,Blue,2024-09-29T13:00:31.235851,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.05,56.605657237936775,-0.5833333333333334,Blue,2024-09-29T13:00:31.348095,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-09-29T13:00:31.427326,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.85,56.25525291828794,0.2,Blue,2024-09-29T13:00:31.525229,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7333333333333334,44.517073170731706,-0.31666666666666665,Blue,2024-09-29T13:00:31.606104,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.116666666666667,35.69279204639602,2.783333333333333,Yellow,2024-09-29T13:00:31.692883,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.366666666666667,41.50889679715303,-0.23333333333333334,Blue,2024-09-29T13:00:31.780709,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.15,45.08268551236749,-0.8,Blue,2024-09-29T13:00:31.857119,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-09-29T13:00:31.933210,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,14.25,61.67578947368421,-0.7333333333333333,Blue,2024-09-29T13:00:32.016934,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.033333333333333,45.619939577039275,-0.26666666666666666,Blue,2024-09-29T13:00:32.101971,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
