road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.366666666666667,32.47435456110155,-1.1,Blue,2024-09-29T14:00:30.385064,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.566666666666666,21.901522842639594,-0.4166666666666667,Blue,2024-09-29T14:00:30.534112,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-09-29T14:00:30.644778,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.283333333333335,75.0866032843561,1.0333333333333334,Yellow,2024-09-29T14:00:30.776327,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.518,26.233333333333334,40.06658195679797,12.0,Red,2024-09-29T14:00:30.903139,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.65,28.8,1.55,Orange,2024-09-29T14:00:31.010383,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,15.966666666666667,48.60375782881002,-0.5,Blue,2024-09-29T14:00:31.108249,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.2,81.30697674418604,2.0166666666666666,Yellow,2024-09-29T14:00:31.167895,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.15,54.32195121951219,-0.21666666666666667,Blue,2024-09-29T14:00:31.322547,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.366666666666667,57.9228149829739,-1.2666666666666666,Blue,2024-09-29T14:00:31.433459,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-29T14:00:31.531741,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.85,56.25525291828794,0.2,Blue,2024-09-29T14:00:31.620794,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-09-29T14:00:31.736121,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,15.018,22.75,39.60791208791209,-0.8833333333333333,Blue,2024-09-29T14:00:31.858361,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.733333333333333,36.22360248447205,1.1333333333333333,Yellow,2024-09-29T14:00:31.945566,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.2,44.92394366197183,-0.75,Blue,2024-09-29T14:00:32.042719,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.45,41.392771084337355,-0.65,Blue,2024-09-29T14:00:32.135288,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,15.766666666666667,55.74291754756871,0.7833333333333333,Yellow,2024-09-29T14:00:32.307266,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.133333333333333,41.48406593406593,0.8333333333333334,Yellow,2024-09-29T14:00:32.409734,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.95,49.894980694980696,-0.7,Blue,2024-09-29T14:00:32.501943,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.666666666666666,47.84553191489361,-1.2166666666666666,Blue,2024-09-29T14:00:32.592287,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,23.816666666666666,38.662841147655705,10.5,Red,2024-09-29T14:00:32.686601,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.9,32.278260869565216,2.066666666666667,Orange,2024-09-29T14:00:32.777329,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.7,46.20689655172414,-0.8666666666666667,Blue,2024-09-29T14:00:32.874689,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T14:00:33.088276,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.316666666666666,74.39519038076152,-0.5166666666666667,Blue,2024-09-29T14:00:33.222404,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.516666666666667,67.00985352862848,-1.1333333333333333,Blue,2024-09-29T14:00:33.310849,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.883333333333334,72.55290102389078,-0.36666666666666664,Blue,2024-09-29T14:00:33.398782,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
