road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.9,30.091866028708132,0.43333333333333335,Blue,2024-09-29T15:00:30.442667,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.216666666666667,23.134584450402144,-0.7666666666666667,Blue,2024-09-29T15:00:30.565242,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-29T15:00:30.673919,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.983333333333334,69.00333598093725,2.7333333333333334,Yellow,2024-09-29T15:00:30.792381,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,27.7,37.932129963898916,14.583333333333334,Dark Red,2024-09-29T15:00:30.900234,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.116666666666666,26.60272479564033,2.0166666666666666,Orange,2024-09-29T15:00:31.008827,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-09-29T15:00:31.102272,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.65,71.16946564885497,4.466666666666667,Orange,2024-09-29T15:00:31.161187,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.433333333333334,51.92953367875647,0.06666666666666667,Blue,2024-09-29T15:00:31.325346,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.216666666666665,51.51990202082058,-4.15,Blue,2024-09-29T15:00:31.456966,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-29T15:00:31.544595,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.016666666666667,60.15644937586684,-0.6333333333333333,Blue,2024-09-29T15:00:31.637968,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-09-29T15:00:31.720054,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,25.866666666666667,27.758505154639177,8.533333333333333,Orange,2024-09-29T15:00:31.829815,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.066666666666666,35.13253012048193,1.4666666666666666,Yellow,2024-09-29T15:00:31.908900,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.45,44.14671280276817,-0.5,Blue,2024-09-29T15:00:32.009063,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.683333333333334,40.63127463863338,-0.4166666666666667,Blue,2024-09-29T15:00:32.094960,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,21.4,27.361682242990657,7.033333333333333,Orange,2024-09-29T15:00:32.279150,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.35,44.34713656387665,0.05,Blue,2024-09-29T15:00:32.408950,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.65,51.07826086956521,-1.0,Blue,2024-09-29T15:00:32.509753,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.7,47.74394904458599,-1.1833333333333333,Blue,2024-09-29T15:00:32.606640,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,20.25,45.47259259259259,6.933333333333334,Red,2024-09-29T15:00:32.699948,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.316666666666666,35.25910290237467,1.4833333333333334,Orange,2024-09-29T15:00:32.788447,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.916666666666666,45.084112149532714,-0.65,Blue,2024-09-29T15:00:32.880407,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T15:00:33.103132,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.633333333333333,71.66640926640927,-0.2,Blue,2024-09-29T15:00:33.273597,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.583333333333334,66.6548344370861,-1.0666666666666667,Blue,2024-09-29T15:00:33.372894,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.066666666666666,69.92763157894737,-0.18333333333333332,Blue,2024-09-29T15:00:33.460400,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,40.36666666666667,81.75359207266722,0.08333333333333333,Blue,2024-09-29T15:00:33.569090,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,39.81666666666667,47.47057346169945,14.15,Red,2024-09-29T15:00:33.690535,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.95,85.58528428093646,0.36666666666666664,Blue,2024-09-29T15:00:33.779909,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,29.466666666666665,63.940723981900454,1.9333333333333333,Yellow,2024-09-29T15:00:33.976388,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,16.983333333333334,42.3450441609421,8.5,Dark Red,2024-09-29T15:00:34.053236,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,10.716666666666667,33.16702954898911,1.7833333333333334,Yellow,2024-09-29T15:00:34.132588,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.35,38.400000000000006,0.16666666666666666,Yellow,2024-09-29T15:00:34.374038,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.933333333333334,104.88841463414633,-0.9,Blue,2024-09-29T15:00:34.639379,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,24.35,47.92361396303901,8.733333333333333,Red,2024-09-29T15:00:34.814581,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,5.1,30.411764705882355,0.75,Yellow,2024-09-29T15:00:34.942282,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.85,65.21556420233463,-0.7166666666666667,Blue,2024-09-29T15:00:35.050671,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.133333333333333,82.21979695431472,-0.8333333333333334,Blue,2024-09-29T15:00:35.141271,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,10.09,20.116666666666667,30.094449047224522,6.666666666666667,Orange,2024-09-29T15:00:35.341804,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.75,85.28516129032258,-0.4,Blue,2024-09-29T15:00:35.461359,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.266666666666667,104.2455621301775,-0.8833333333333333,Blue,2024-09-29T15:00:35.502863,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,10.866666666666667,42.0680981595092,3.3333333333333335,Orange,2024-09-29T15:00:35.668547,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,12.711,18.133333333333333,42.058455882352945,4.983333333333333,Orange,2024-09-29T15:00:35.796109,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,19.65,44.3114503816794,8.566666666666666,Red,2024-09-29T15:00:35.884199,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,23.4,29.969230769230773,13.433333333333334,Dark Red,2024-09-29T15:00:35.989402,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.316666666666666,37.55595996360328,-0.36666666666666664,Blue,2024-09-29T15:00:36.086820,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.164,10.533333333333333,74.98481012658227,-0.7333333333333333,Blue,2024-09-29T15:00:36.211205,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,15.866666666666667,40.9953781512605,7.416666666666667,Red,2024-09-29T15:00:36.351034,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.9,36.90769230769231,0.18333333333333332,Blue,2024-09-29T15:00:36.452380,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,24.083333333333332,44.208996539792395,5.616666666666666,Orange,2024-09-29T15:00:36.563063,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,15.978,49.43333333333333,19.393391773432235,22.933333333333334,Red,2024-09-29T15:00:36.901652,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,9.133333333333333,13.611678832116791,3.75,Red,2024-09-29T15:00:37.006535,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,53.61666666666667,31.41411252719925,31.066666666666666,Dark Red,2024-09-29T15:00:37.304860,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,9.666666666666666,37.99241379310345,0.21666666666666667,Blue,2024-09-29T15:00:37.444127,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,39.016666666666666,25.667492524562153,22.666666666666668,Dark Red,2024-09-29T15:00:37.600392,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
