road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,20.65,30.6043583535109,0.06666666666666667,Blue,2024-09-29T16:00:30.295542,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-09-29T16:00:30.409602,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.733333333333334,37.20101351351351,-0.16666666666666666,Blue,2024-09-29T16:00:30.512136,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.733333333333334,77.29110320284698,0.48333333333333334,Blue,2024-09-29T16:00:30.624527,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,28.216666666666665,37.23756645008861,15.1,Dark Red,2024-09-29T16:00:30.739990,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.533333333333333,24.906122448979595,2.433333333333333,Red,2024-09-29T16:00:30.843213,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-29T16:00:30.942935,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.583333333333332,84.33045226130655,1.4,Yellow,2024-09-29T16:00:30.989440,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.466666666666667,51.66185567010309,0.1,Blue,2024-09-29T16:00:31.084607,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.283333333333335,47.75890722822994,-2.8,Blue,2024-09-29T16:00:31.264469,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-29T16:00:31.396785,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.95,60.492050209205026,-0.7,Blue,2024-09-29T16:00:31.497788,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-29T16:00:31.587194,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,24.916666666666668,28.81685618729097,7.583333333333333,Orange,2024-09-29T16:00:31.666058,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.266666666666667,37.870129870129865,0.6666666666666666,Yellow,2024-09-29T16:00:31.764438,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.483333333333333,44.04510932105869,-0.4666666666666667,Blue,2024-09-29T16:00:31.874471,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.85,40.10428015564202,-0.25,Blue,2024-09-29T16:00:31.951088,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,14.648,15.783333333333333,55.68405491024287,0.8,Yellow,2024-09-29T16:00:32.044946,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.283333333333333,44.60915805022156,-0.016666666666666666,Blue,2024-09-29T16:00:32.139084,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.45,51.89879518072289,-1.2,Blue,2024-09-29T16:00:32.244236,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-29T16:00:32.353761,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.351,20.116666666666667,45.78591549295775,5.5,Orange,2024-09-29T16:00:32.430360,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.483333333333333,34.35269922879178,1.65,Orange,2024-09-29T16:00:32.511644,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
