road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.533333333333335,30.629220779220773,0.06666666666666667,Blue,2024-09-29T17:00:30.645625,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-09-29T17:00:30.796482,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-09-29T17:00:30.905934,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.033333333333335,80.2913123844732,-0.21666666666666667,Blue,2024-09-29T17:00:31.028115,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,15.75,66.63619047619048,3.466666666666667,Orange,2024-09-29T17:00:31.123313,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,8.016666666666667,20.297713097713096,3.9166666666666665,Red,2024-09-29T17:00:31.238089,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-29T17:00:31.357788,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.45,90.51650485436893,0.26666666666666666,Blue,2024-09-29T17:00:31.417947,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.05,47.38723404255319,0.6833333333333333,Yellow,2024-09-29T17:00:31.519882,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.183333333333334,56.35560463832137,-0.45,Blue,2024-09-29T17:00:31.623427,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-09-29T17:00:31.706979,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.833333333333334,61.088450704225345,-0.8166666666666667,Blue,2024-09-29T17:00:31.782706,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-09-29T17:00:31.869596,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.8,31.492105263157896,5.466666666666667,Orange,2024-09-29T17:00:31.981929,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.7,40.08247422680413,0.1,Blue,2024-09-29T17:00:32.094556,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.116666666666667,42.199779492833514,0.16666666666666666,Blue,2024-09-29T17:00:32.208927,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.666666666666666,40.684736842105266,-0.43333333333333335,Blue,2024-09-29T17:00:32.308992,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.266666666666667,41.04252336448598,-0.1,Blue,2024-09-29T17:00:32.398910,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.7,43.02051282051282,0.4,Blue,2024-09-29T17:00:32.486236,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.483333333333333,51.76021361815754,-1.1666666666666667,Blue,2024-09-29T17:00:32.694242,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.066666666666666,46.65435684647303,-0.8166666666666667,Blue,2024-09-29T17:00:32.790227,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.116666666666667,65.229279811098,0.8,Yellow,2024-09-29T17:00:32.880433,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.75,38.73391304347826,0.9166666666666666,Yellow,2024-09-29T17:00:32.968395,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.166666666666666,43.85454545454546,-0.4,Blue,2024-09-29T17:00:33.049897,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-29T17:00:33.306166,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.316666666666666,66.41001788908765,0.48333333333333334,Yellow,2024-09-29T17:00:33.418768,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.166666666666666,63.70177215189873,-0.48333333333333334,Blue,2024-09-29T17:00:33.491692,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.333333333333333,66.43125,0.08333333333333333,Blue,2024-09-29T17:00:33.592502,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,36.983333333333334,89.23262730959893,-3.3,Blue,2024-09-29T17:00:33.680797,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,33.13333333333333,57.04587525150906,7.466666666666667,Orange,2024-09-29T17:00:33.903262,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.166666666666666,90.31764705882352,-0.4166666666666667,Blue,2024-09-29T17:00:33.996599,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.25,69.14201834862385,-0.2833333333333333,Blue,2024-09-29T17:00:34.081924,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.683333333333334,82.82072936660269,0.2,Blue,2024-09-29T17:00:34.209585,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.666666666666666,41.0123076923077,-0.26666666666666666,Blue,2024-09-29T17:00:34.337038,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.1333333333333333,41.05531914893618,-0.05,Blue,2024-09-29T17:00:34.424780,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.683333333333334,107.34290171606864,-1.15,Blue,2024-09-29T17:00:34.509359,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.016666666666667,77.70965593784685,-0.6,Blue,2024-09-29T17:00:34.596667,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.416666666666667,35.11698113207547,0.06666666666666667,Blue,2024-09-29T17:00:34.684540,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.483333333333333,67.13110814419225,-1.0833333333333333,Blue,2024-09-29T17:00:34.776023,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.316666666666666,81.08785982478098,-0.65,Blue,2024-09-29T17:00:34.855488,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,15.45,30.640776699029125,4.783333333333333,Orange,2024-09-29T17:00:34.934168,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.0,82.62,-0.15,Blue,2024-09-29T17:00:35.015547,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.016666666666667,106.61119515885022,-1.1333333333333333,Blue,2024-09-29T17:00:35.071245,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
