road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.75,30.309397590361446,0.2833333333333333,Blue,2024-09-29T19:00:29.969709,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-29T19:00:30.114581,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-29T19:00:30.222452,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.866666666666667,85.84505928853754,-1.3833333333333333,Blue,2024-09-29T19:00:30.346166,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.5,91.26260869565218,-0.7833333333333333,Blue,2024-09-29T19:00:30.449486,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.35,30.414953271028043,1.25,Orange,2024-09-29T19:00:30.541486,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-09-29T19:00:30.644331,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.433333333333334,96.89237875288684,-0.75,Blue,2024-09-29T19:00:30.696702,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.316666666666666,52.888654353562,-0.05,Blue,2024-09-29T19:00:30.794109,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.85,56.98492462311558,-0.7833333333333333,Blue,2024-09-29T19:00:30.898366,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.683333333333334,42.86540447504303,0.08333333333333333,Blue,2024-09-29T19:00:30.981540,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.7,61.78461538461539,-0.95,Blue,2024-09-29T19:00:31.068316,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-09-29T19:00:31.147537,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.166666666666668,44.41360824742267,-1.1666666666666667,Blue,2024-09-29T19:00:31.265054,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.033333333333333,43.04059040590406,-0.5666666666666667,Blue,2024-09-29T19:00:31.362897,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.633333333333333,43.59362186788155,-0.31666666666666665,Blue,2024-09-29T19:00:31.450585,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
