road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.083333333333332,32.95650655021834,-1.3833333333333333,Blue,2024-09-30T01:00:29.821808,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.766666666666667,24.939884393063583,-1.2166666666666666,Blue,2024-09-30T01:00:29.949401,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.466666666666665,37.71061643835616,-0.43333333333333335,Blue,2024-09-30T01:00:30.048818,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.8,86.18571428571428,-1.45,Blue,2024-09-30T01:00:30.153293,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.6,90.47586206896553,-0.6833333333333333,Blue,2024-09-30T01:00:30.261880,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.5166666666666666,46.27109004739337,-0.5833333333333334,Blue,2024-09-30T01:00:30.350976,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-09-30T01:00:30.420057,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.233333333333333,98.25386416861828,-0.95,Blue,2024-09-30T01:00:30.468446,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.533333333333333,51.13469387755102,0.16666666666666666,Blue,2024-09-30T01:00:30.552158,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.933333333333334,46.72182628062361,-2.15,Blue,2024-09-30T01:00:30.675995,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-09-30T01:00:30.750689,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.433333333333334,63.225655976676386,-1.2166666666666666,Blue,2024-09-30T01:00:30.825722,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-30T01:00:30.907414,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.283333333333335,44.09539406345957,-1.05,Blue,2024-09-30T01:00:30.987199,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.1,42.72527472527473,-0.5,Blue,2024-09-30T01:00:31.067710,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
