road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,22.066666666666666,28.639577039274926,1.4833333333333334,Yellow,2024-09-30T04:00:30.097919,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,7.65,18.799999999999997,0.6666666666666666,Yellow,2024-09-30T04:00:30.223492,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.333333333333332,37.970689655172414,-0.5666666666666667,Blue,2024-09-30T04:00:30.317217,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.333333333333332,78.97745454545456,0.08333333333333333,Blue,2024-09-30T04:00:30.419147,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.25,93.29066666666667,-1.0333333333333334,Blue,2024-09-30T04:00:30.505174,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,7.283333333333333,22.34141876430206,3.183333333333333,Red,2024-09-30T04:00:30.614047,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-09-30T04:00:30.682390,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.433333333333334,85.10020283975659,1.25,Yellow,2024-09-30T04:00:30.728120,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.083333333333333,54.9172602739726,-0.2833333333333333,Blue,2024-09-30T04:00:30.809902,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.316666666666666,60.07062978222484,-2.316666666666667,Blue,2024-09-30T04:00:30.905175,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.35,44.39358288770054,-0.25,Blue,2024-09-30T04:00:31.001773,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.766666666666667,52.509443099273604,1.1166666666666667,Yellow,2024-09-30T04:00:31.075075,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.2,38.025,0.15,Blue,2024-09-30T04:00:31.149238,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.416666666666666,46.574270270270276,-1.9166666666666667,Blue,2024-09-30T04:00:31.246571,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.0,43.2,-0.6,Blue,2024-09-30T04:00:31.325999,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
