road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.833333333333332,31.710252100840336,-0.6333333333333333,Blue,2024-09-30T05:00:30.265814,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.55,21.957251908396945,-0.43333333333333335,Blue,2024-09-30T05:00:30.375672,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-30T05:00:30.468892,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.2,79.55604395604396,-0.05,Blue,2024-09-30T05:00:30.576447,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.25,93.29066666666667,-1.0333333333333334,Blue,2024-09-30T05:00:30.665688,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6333333333333333,44.785321100917436,-0.4666666666666667,Blue,2024-09-30T05:00:30.768031,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.083333333333332,48.251191709844555,-0.38333333333333336,Blue,2024-09-30T05:00:30.850689,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.216666666666665,86.23720452209662,1.0333333333333334,Yellow,2024-09-30T05:00:30.897037,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.016666666666667,55.52576177285319,-0.35,Blue,2024-09-30T05:00:31.006511,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.133333333333333,51.678132678132684,-4.233333333333333,Blue,2024-09-30T05:00:31.091640,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.233333333333333,44.95451263537907,-0.36666666666666664,Blue,2024-09-30T05:00:31.170930,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.65,62.04978540772532,-1.0,Blue,2024-09-30T05:00:31.254816,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9,41.95862068965518,-0.15,Blue,2024-09-30T05:00:31.332045,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.366666666666667,46.72581344902386,-1.9666666666666666,Blue,2024-09-30T05:00:31.413674,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.816666666666666,44.09829867674859,-0.7833333333333333,Blue,2024-09-30T05:00:31.491100,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.016666666666667,42.48079911209767,0.06666666666666667,Blue,2024-09-30T05:00:31.562814,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.5,41.2272,-0.6,Blue,2024-09-30T05:00:31.670981,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.516666666666667,46.78082556591211,-1.85,Blue,2024-09-30T05:00:31.752617,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.166666666666666,49.508852459016396,-1.1333333333333333,Blue,2024-09-30T05:00:31.830091,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.0,53.845,-1.65,Blue,2024-09-30T05:00:31.910529,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.283333333333333,49.045583424209376,-1.6,Blue,2024-09-30T05:00:31.988610,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.816666666666666,71.84551365409622,-0.5,Blue,2024-09-30T05:00:32.064683,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.583333333333333,48.593454545454556,-0.25,Blue,2024-09-30T05:00:32.143440,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.966666666666667,44.832713754646846,-0.6,Blue,2024-09-30T05:00:32.220734,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T05:00:32.383259,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.516666666666667,72.64814090019568,-0.31666666666666665,Blue,2024-09-30T05:00:32.476251,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.383333333333333,67.73135935397039,-1.2666666666666666,Blue,2024-09-30T05:00:32.540673,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.833333333333333,73.30344827586208,-0.4166666666666667,Blue,2024-09-30T05:00:32.628878,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.008,59.21666666666667,55.73566000562904,18.133333333333333,Orange,2024-09-30T05:00:32.814480,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,22.616666666666667,83.5719970523213,-3.05,Blue,2024-09-30T05:00:32.896050,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.366666666666667,95.72319201995012,-1.2166666666666666,Blue,2024-09-30T05:00:32.967080,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.9,70.04163568773235,-0.6333333333333333,Blue,2024-09-30T05:00:33.039566,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.233333333333333,87.34736842105264,-0.25,Blue,2024-09-30T05:00:33.167258,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.083333333333334,43.971958762886594,-0.85,Blue,2024-09-30T05:00:33.241031,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.5166666666666666,36.580094786729866,0.3333333333333333,Yellow,2024-09-30T05:00:33.334846,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.933333333333334,104.88841463414633,-0.9,Blue,2024-09-30T05:00:33.408949,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.453,26.616666666666667,43.85147150907952,8.416666666666666,Orange,2024-09-30T05:00:33.540717,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,11.1,13.972972972972974,6.75,Dark Red,2024-09-30T05:00:33.629164,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.866666666666667,65.13108808290156,-0.7,Blue,2024-09-30T05:00:33.706237,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,12.55,86.0414342629482,-1.4166666666666667,Blue,2024-09-30T05:00:33.779019,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,13.383333333333333,35.37235367372354,2.716666666666667,Orange,2024-09-30T05:00:33.857155,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.65,86.4,-0.5,Blue,2024-09-30T05:00:33.946425,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.266666666666667,104.2455621301775,-0.8833333333333333,Blue,2024-09-30T05:00:33.979961,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.416666666666667,61.636853932584266,-0.11666666666666667,Blue,2024-09-30T05:00:34.061134,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,11.65,56.925321888412014,1.05,Yellow,2024-09-30T05:00:34.159929,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,19.416666666666668,44.84394849785408,8.333333333333334,Red,2024-09-30T05:00:34.235485,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,12.066666666666666,58.11712707182321,2.1,Orange,2024-09-30T05:00:34.309193,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.15,37.900826446280995,-0.5333333333333333,Blue,2024-09-30T05:00:34.403186,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.5,83.20421052631579,-1.1833333333333333,Blue,2024-09-30T05:00:34.477754,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,17.8,36.54269662921348,9.35,Dark Red,2024-09-30T05:00:34.584123,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.7333333333333334,38.55535714285715,0.016666666666666666,Blue,2024-09-30T05:00:34.665041,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,23.051,41.4,33.40724637681159,8.916666666666666,Orange,2024-09-30T05:00:34.849645,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.605,16.75,45.15223880597015,3.55,Orange,2024-09-30T05:00:34.947156,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.133333333333334,24.218181818181815,-0.25,Blue,2024-09-30T05:00:35.034596,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,31.578,20.483333333333334,92.49861676159479,-2.6666666666666665,Blue,2024-09-30T05:00:35.144457,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.833333333333334,41.57660377358491,-0.6166666666666667,Blue,2024-09-30T05:00:35.220732,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,13.7,73.0992700729927,-2.65,Blue,2024-09-30T05:00:35.317116,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,8.433333333333334,89.88616600790513,-1.1833333333333333,Blue,2024-09-30T05:00:35.422491,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,8.483333333333333,34.069155206286844,-1.35,Blue,2024-09-30T05:00:35.499095,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,18.45,54.91056910569106,2.8333333333333335,Yellow,2024-09-30T05:00:35.580199,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
