road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.2,31.13465346534653,-0.26666666666666666,Blue,2024-09-30T06:00:29.774906,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-30T06:00:29.883393,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.416666666666668,37.807725321888405,-0.48333333333333334,Blue,2024-09-30T06:00:29.966684,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.966666666666665,65.91441578148711,3.716666666666667,Orange,2024-09-30T06:00:30.059118,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.496,17.883333333333333,58.700465983224596,4.8,Orange,2024-09-30T06:00:30.154097,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.683333333333333,44.177375565610866,-0.4166666666666667,Blue,2024-09-30T06:00:30.273210,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.0,48.5025,-0.4666666666666667,Blue,2024-09-30T06:00:30.373783,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,20.266666666666666,69.00394736842105,5.083333333333333,Orange,2024-09-30T06:00:30.445486,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.133333333333334,54.4695652173913,-0.23333333333333334,Blue,2024-09-30T06:00:30.532210,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.683333333333334,50.651414810355206,-3.683333333333333,Blue,2024-09-30T06:00:30.615176,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-30T06:00:30.694274,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.316666666666666,54.28385481852315,0.6666666666666666,Yellow,2024-09-30T06:00:30.776619,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7666666666666666,43.980722891566266,-0.2833333333333333,Blue,2024-09-30T06:00:30.853752,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.783333333333335,42.78172790466733,-0.55,Blue,2024-09-30T06:00:30.952752,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.383333333333333,41.43516873889876,-0.21666666666666667,Blue,2024-09-30T06:00:31.036677,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.4,44.3,-0.55,Blue,2024-09-30T06:00:31.104838,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.566666666666666,41.00848806366048,-0.5333333333333333,Blue,2024-09-30T06:00:31.184382,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.85,39.43030303030303,0.48333333333333334,Blue,2024-09-30T06:00:31.258574,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.283333333333333,48.947163695299835,-1.0166666666666666,Blue,2024-09-30T06:00:31.429874,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.583333333333334,51.34887417218543,-1.0666666666666667,Blue,2024-09-30T06:00:31.506134,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.416666666666666,48.62140540540541,-1.4666666666666666,Blue,2024-09-30T06:00:31.661843,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.8,66.72608695652174,0.48333333333333334,Blue,2024-09-30T06:00:31.737601,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
