road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.666666666666668,31.978983050847454,-0.8,Blue,2024-09-30T07:00:30.364929,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-09-30T07:00:30.469258,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.283333333333335,38.069144338807256,-0.6166666666666667,Blue,2024-09-30T07:00:30.564512,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.666666666666668,81.9577358490566,-0.5833333333333334,Blue,2024-09-30T07:00:30.670434,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.35,84.98137651821862,0.06666666666666667,Blue,2024-09-30T07:00:30.773872,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.016666666666667,40.51120331950208,-0.08333333333333333,Blue,2024-09-30T07:00:30.873573,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-09-30T07:00:30.955694,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.783333333333333,88.60485744456177,0.6,Blue,2024-09-30T07:00:31.021263,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.266666666666667,53.31063829787234,-0.1,Blue,2024-09-30T07:00:31.106466,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,31.716666666666665,44.09479768786128,-0.36666666666666664,Blue,2024-09-30T07:00:31.193069,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.283333333333333,44.71238779174147,-0.31666666666666665,Blue,2024-09-30T07:00:31.272117,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-09-30T07:00:31.374583,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-09-30T07:00:31.449301,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.283333333333335,35.399506984387834,2.95,Yellow,2024-09-30T07:00:31.530880,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
