road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.833333333333332,31.710252100840336,-0.6333333333333333,Blue,2024-09-30T08:00:30.203951,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-09-30T08:00:30.319375,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.216666666666665,38.20121422376409,-0.6833333333333333,Blue,2024-09-30T08:00:30.416947,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.65,86.96216216216217,-1.6,Blue,2024-09-30T08:00:30.521602,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.516666666666667,91.13053545586108,-0.7666666666666667,Blue,2024-09-30T08:00:30.621160,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.7,43.97837837837838,-0.4,Blue,2024-09-30T08:00:30.709349,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-09-30T08:00:30.798421,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.316666666666666,97.68195576251455,-0.8666666666666667,Blue,2024-09-30T08:00:30.855977,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.466666666666667,51.66185567010309,0.1,Blue,2024-09-30T08:00:30.940725,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.0,46.618,-2.0833333333333335,Blue,2024-09-30T08:00:31.025844,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-30T08:00:31.114075,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.533333333333333,62.67745664739885,-1.1166666666666667,Blue,2024-09-30T08:00:31.228120,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-09-30T08:00:31.322348,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.666666666666668,36.50949152542373,2.3333333333333335,Yellow,2024-09-30T08:00:31.414840,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.216666666666667,42.184448462929474,-0.38333333333333336,Blue,2024-09-30T08:00:31.564127,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.266666666666667,44.714018691588784,-0.6833333333333333,Blue,2024-09-30T08:00:31.647896,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.983333333333333,39.69242618741977,-0.11666666666666667,Blue,2024-09-30T08:00:31.730052,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,13.74,14.683333333333334,56.145289443813844,0.38333333333333336,Blue,2024-09-30T08:00:31.804419,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.1,45.34594594594594,-0.2,Blue,2024-09-30T08:00:31.896991,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.1,53.400000000000006,-1.55,Blue,2024-09-30T08:00:31.977353,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.066666666666666,49.75088495575221,-1.8166666666666667,Blue,2024-09-30T08:00:32.056014,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.883333333333333,71.47373868046573,-0.43333333333333335,Blue,2024-09-30T08:00:32.130893,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.933333333333334,45.14594594594595,0.1,Blue,2024-09-30T08:00:32.224930,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.95,44.916201117318444,-0.6166666666666667,Blue,2024-09-30T08:00:32.315081,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T08:00:32.537308,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.55,72.36491228070174,-0.2833333333333333,Blue,2024-09-30T08:00:32.625568,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.433333333333334,67.45898123324396,-1.2166666666666666,Blue,2024-09-30T08:00:32.699517,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.933333333333334,71.81756756756756,-0.31666666666666665,Blue,2024-09-30T08:00:32.777350,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,43.166666666666664,76.45065637065638,2.8833333333333333,Yellow,2024-09-30T08:00:32.921205,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.583333333333332,80.14643109540636,-2.0833333333333335,Blue,2024-09-30T08:00:33.014162,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.833333333333334,86.25842696629213,0.25,Blue,2024-09-30T08:00:33.105439,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.766666666666666,73.12238033635188,-1.7666666666666666,Blue,2024-09-30T08:00:33.200785,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.283333333333333,86.82012072434608,-0.2,Blue,2024-09-30T08:00:33.283050,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
