road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.083333333333332,33.11685589519651,-1.5,Blue,2024-09-30T10:00:30.331312,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.316666666666666,22.768337730870712,-0.6666666666666666,Blue,2024-09-30T10:00:30.438276,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.166666666666668,38.30086956521738,-0.7333333333333333,Blue,2024-09-30T10:00:30.546157,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.25,83.93739130434784,-1.0,Blue,2024-09-30T10:00:30.676844,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.583333333333334,90.60604316546763,-0.7,Blue,2024-09-30T10:00:30.771689,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.0,27.12,1.9,Orange,2024-09-30T10:00:30.866921,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.033333333333335,48.4016632016632,-0.43333333333333335,Blue,2024-09-30T10:00:30.965790,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.033333333333333,93.02527716186253,-0.15,Blue,2024-09-30T10:00:31.035013,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.116666666666666,54.61798365122616,-0.25,Blue,2024-09-30T10:00:31.131948,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,28.783333333333335,48.71569195136074,-2.5833333333333335,Blue,2024-09-30T10:00:31.239206,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-30T10:00:31.345074,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.216666666666667,59.17162346521146,-0.43333333333333335,Blue,2024-09-30T10:00:31.444800,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.033333333333333,40.114285714285714,-0.016666666666666666,Blue,2024-09-30T10:00:31.536055,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.716666666666665,38.3626001780944,1.3833333333333333,Yellow,2024-09-30T10:00:31.630467,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.25,37.93170731707317,0.65,Yellow,2024-09-30T10:00:31.733498,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.25,44.76631578947369,-0.7,Blue,2024-09-30T10:00:31.820893,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.65,40.73833992094862,-0.45,Blue,2024-09-30T10:00:31.891041,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.005,14.55,61.876288659793815,-0.5333333333333333,Blue,2024-09-30T10:00:31.979301,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.133333333333333,45.21017964071856,-0.16666666666666666,Blue,2024-09-30T10:00:32.062806,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.166666666666666,53.10739726027397,-1.4833333333333334,Blue,2024-09-30T10:00:32.150533,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.0,49.972,-1.8833333333333333,Blue,2024-09-30T10:00:32.275467,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.516666666666667,68.12478421701601,0.2,Blue,2024-09-30T10:00:32.371377,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.466666666666667,40.74146341463415,0.6333333333333333,Yellow,2024-09-30T10:00:32.460060,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.766666666666667,45.855513307984786,-0.8,Blue,2024-09-30T10:00:32.540493,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T10:00:32.747929,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.383333333333333,73.80357852882703,-0.45,Blue,2024-09-30T10:00:32.843075,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.283333333333333,68.28276797829037,-1.3666666666666667,Blue,2024-09-30T10:00:32.909016,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.0,70.86000000000001,-0.25,Blue,2024-09-30T10:00:32.979959,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.833333333333336,77.04560311284047,2.55,Yellow,2024-09-30T10:00:33.077380,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.866666666666667,79.1949720670391,-1.8,Blue,2024-09-30T10:00:33.195348,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.133333333333333,90.53066037735849,-0.45,Blue,2024-09-30T10:00:33.290792,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.25,71.776,-1.2833333333333334,Blue,2024-09-30T10:00:33.375267,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.316666666666666,86.47214428857717,-0.16666666666666666,Blue,2024-09-30T10:00:33.449310,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.5,41.8164705882353,-0.43333333333333335,Blue,2024-09-30T10:00:33.530401,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,4.416666666666667,29.126037735849057,1.2333333333333334,Orange,2024-09-30T10:00:33.630790,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.85,105.69400921658986,-0.9833333333333333,Blue,2024-09-30T10:00:33.712942,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,20.4,57.202941176470596,4.783333333333333,Orange,2024-09-30T10:00:33.811421,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,6.0,25.849999999999998,1.65,Orange,2024-09-30T10:00:33.889939,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.816666666666666,65.3851755526658,-0.75,Blue,2024-09-30T10:00:34.008576,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.05,82.7448275862069,-0.9166666666666666,Blue,2024-09-30T10:00:34.089290,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,12.933333333333334,36.603092783505154,2.2666666666666666,Orange,2024-09-30T10:00:34.183625,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.683333333333334,86.02516268980477,-0.4666666666666667,Blue,2024-09-30T10:00:34.270897,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.183333333333334,105.02235469448584,-0.9666666666666667,Blue,2024-09-30T10:00:34.307347,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.65,68.74285714285713,-0.8833333333333333,Blue,2024-09-30T10:00:34.399258,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,12.266666666666667,54.06358695652174,1.6666666666666667,Yellow,2024-09-30T10:00:34.482168,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,18.45,47.19349593495935,7.366666666666666,Red,2024-09-30T10:00:34.568030,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
