road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.283333333333335,32.61469317199654,-1.1833333333333333,Blue,2024-09-30T12:00:30.133742,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-09-30T12:00:30.272892,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.5,37.646153846153844,-0.4,Blue,2024-09-30T12:00:30.411988,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.316666666666666,83.61424446583254,-0.9333333333333333,Blue,2024-09-30T12:00:30.521671,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,14.1,74.4340425531915,1.8166666666666667,Yellow,2024-09-30T12:00:30.632181,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.583333333333333,24.71696202531646,2.4833333333333334,Red,2024-09-30T12:00:30.726058,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.25,47.75630769230769,-0.21666666666666667,Blue,2024-09-30T12:00:30.820454,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.983333333333333,93.33570634037821,-0.2,Blue,2024-09-30T12:00:30.945599,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.3,53.028571428571425,-0.06666666666666667,Blue,2024-09-30T12:00:31.068645,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.733333333333334,57.208520179372194,-0.9,Blue,2024-09-30T12:00:31.222753,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-09-30T12:00:31.348906,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.4,63.410526315789475,-1.25,Blue,2024-09-30T12:00:31.457593,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
