road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,20.116666666666667,31.415741507870752,-0.4666666666666667,Blue,2024-09-30T13:00:29.707857,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.8,21.15,-0.18333333333333332,Blue,2024-09-30T13:00:29.811414,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.383333333333333,37.87274290627687,-0.5166666666666667,Blue,2024-09-30T13:00:29.915526,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.866666666666667,69.3891373801917,2.6166666666666667,Yellow,2024-09-30T13:00:30.037287,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,19.25,54.58285714285714,6.133333333333334,Orange,2024-09-30T13:00:30.175941,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,8.05,20.21366459627329,3.95,Red,2024-09-30T13:00:30.348684,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.066666666666666,48.301244813278004,-0.4,Blue,2024-09-30T13:00:30.456558,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.55,75.38975741239891,3.3666666666666667,Orange,2024-09-30T13:00:30.538078,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.35,52.61102362204725,-0.016666666666666666,Blue,2024-09-30T13:00:30.647406,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.833333333333332,50.37844311377246,-3.533333333333333,Blue,2024-09-30T13:00:30.734296,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-30T13:00:30.832126,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,13.4,53.94626865671642,0.75,Yellow,2024-09-30T13:00:30.918122,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-09-30T13:00:31.001036,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,25.533333333333335,28.12088772845953,8.2,Orange,2024-09-30T13:00:31.110877,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.633333333333333,40.35986159169551,0.03333333333333333,Blue,2024-09-30T13:00:31.304723,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.35,44.45435540069686,-0.6,Blue,2024-09-30T13:00:31.419981,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.55,41.06294820717132,-0.55,Blue,2024-09-30T13:00:31.512874,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.783333333333333,62.803156708004515,-0.23333333333333334,Blue,2024-09-30T13:00:31.604236,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.616666666666667,43.32912482065996,0.31666666666666665,Blue,2024-09-30T13:00:31.689893,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.0,49.70307692307692,-0.65,Blue,2024-09-30T13:00:31.779325,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.95,46.99561128526646,-0.9333333333333333,Blue,2024-09-30T13:00:31.865493,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,17.3,53.22658959537572,3.9833333333333334,Orange,2024-09-30T13:00:31.944861,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.933333333333334,37.5370786516854,1.1,Orange,2024-09-30T13:00:32.035747,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.816666666666666,45.59546313799623,-0.75,Blue,2024-09-30T13:00:32.121441,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T13:00:32.385152,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.583333333333334,72.08388349514561,-0.25,Blue,2024-09-30T13:00:32.490431,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
