road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.6,30.530097087378635,0.13333333333333333,Blue,2024-09-30T14:00:30.286811,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.25,23.0112,-0.7333333333333333,Blue,2024-09-30T14:00:30.407741,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.55,37.549872122762146,-0.35,Blue,2024-09-30T14:00:30.504512,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.683333333333334,70.00419016921838,2.433333333333333,Yellow,2024-09-30T14:00:30.641540,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,27.483333333333334,38.23117040630685,14.366666666666667,Dark Red,2024-09-30T14:00:30.762236,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,10.033333333333333,16.21794019933555,5.933333333333334,Dark Red,2024-09-30T14:00:30.868934,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.166666666666668,48.00247422680411,-0.3,Blue,2024-09-30T14:00:30.977032,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.5,75.59351351351351,3.316666666666667,Orange,2024-09-30T14:00:31.049938,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,8.279,6.933333333333334,71.6451923076923,0.016666666666666666,Blue,2024-09-30T14:00:31.163552,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.366666666666667,51.23751522533496,-4.0,Blue,2024-09-30T14:00:31.268610,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-09-30T14:00:31.382841,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.116666666666667,59.65997248968363,-0.5333333333333333,Blue,2024-09-30T14:00:31.476231,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-30T14:00:31.559288,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,27.883333333333333,25.750866706515243,10.55,Red,2024-09-30T14:00:31.683422,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.216666666666667,38.05546492659054,0.6166666666666667,Yellow,2024-09-30T14:00:31.763365,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.383333333333333,44.351332560834294,-0.5666666666666667,Blue,2024-09-30T14:00:31.855804,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.683333333333334,40.63127463863338,-0.4166666666666667,Blue,2024-09-30T14:00:31.931146,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,16.866666666666667,55.045849802371535,1.85,Yellow,2024-09-30T14:00:32.010912,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.75,42.837446808510634,0.45,Blue,2024-09-30T14:00:32.106551,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.6,51.280952380952385,-1.05,Blue,2024-09-30T14:00:32.259457,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.466666666666667,48.46422413793103,-1.4166666666666667,Blue,2024-09-30T14:00:32.364487,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,27.65,33.30271247739602,14.333333333333334,Dark Red,2024-09-30T14:00:32.497944,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.933333333333334,32.12307692307692,2.1,Orange,2024-09-30T14:00:32.603902,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.9,45.168539325842694,-0.6666666666666666,Blue,2024-09-30T14:00:32.696841,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T14:00:32.942698,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.75,70.71085714285714,-0.08333333333333333,Blue,2024-09-30T14:00:33.042565,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.616666666666667,66.47873183619551,-1.0333333333333334,Blue,2024-09-30T14:00:33.116419,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.016666666666667,70.62458471760797,-0.23333333333333334,Blue,2024-09-30T14:00:33.251960,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,45.2,73.01150442477876,4.916666666666667,Yellow,2024-09-30T14:00:33.396349,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,42.7,44.26510538641686,17.033333333333335,Red,2024-09-30T14:00:33.578191,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.966666666666667,91.6109785202864,-0.6166666666666667,Blue,2024-09-30T14:00:33.657491,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,30.466666666666665,61.842013129102845,2.933333333333333,Yellow,2024-09-30T14:00:33.742142,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,17.533333333333335,41.01673003802281,9.05,Dark Red,2024-09-30T14:00:33.837239,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,10.583333333333334,33.58488188976378,1.65,Yellow,2024-09-30T14:00:33.932878,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.35,38.400000000000006,0.16666666666666666,Yellow,2024-09-30T14:00:34.041937,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.85,105.69400921658986,-0.9833333333333333,Blue,2024-09-30T14:00:34.167767,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,28.6,40.802097902097906,12.983333333333333,Red,2024-09-30T14:00:34.296607,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.433333333333334,34.984962406015036,0.08333333333333333,Blue,2024-09-30T14:00:34.399068,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.033333333333333,64.29820971867008,-0.5333333333333333,Blue,2024-09-30T14:00:34.493068,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.2,81.80454545454545,-0.7666666666666667,Blue,2024-09-30T14:00:34.610241,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,14.8,50.343243243243236,3.55,Orange,2024-09-30T14:00:34.692741,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.683333333333334,86.02516268980477,-0.4666666666666667,Blue,2024-09-30T14:00:34.794130,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.116666666666667,105.65217391304347,-1.0333333333333334,Blue,2024-09-30T14:00:34.831667,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,8.733333333333333,52.344274809160304,1.2,Yellow,2024-09-30T14:00:34.919932,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,12.69,19.283333333333335,39.48487467588591,6.383333333333334,Orange,2024-09-30T14:00:35.014084,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,19.0,45.82736842105263,7.916666666666667,Red,2024-09-30T14:00:35.103496,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,22.833333333333332,30.71299270072993,12.866666666666667,Dark Red,2024-09-30T14:00:35.242825,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.466666666666665,37.250902527075816,-0.21666666666666667,Blue,2024-09-30T14:00:35.358492,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.15,77.87586206896552,-0.5333333333333333,Blue,2024-09-30T14:00:35.443117,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,18.25,35.64164383561644,9.8,Dark Red,2024-09-30T14:00:35.526434,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,4.0,35.985,0.2833333333333333,Yellow,2024-09-30T14:00:35.636677,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.847,24.583333333333332,43.558779661016956,5.816666666666666,Orange,2024-09-30T14:00:35.751483,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,46.88333333333333,16.127692854603627,33.766666666666666,Dark Red,2024-09-30T14:00:35.900631,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,6.683333333333334,18.60149625935162,1.3,Orange,2024-09-30T14:00:36.013175,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,29.288,51.916666666666664,33.848089887640455,25.816666666666666,Red,2024-09-30T14:00:36.224658,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,12.8,28.6921875,3.35,Orange,2024-09-30T14:00:36.341177,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.664,42.6,23.470422535211267,25.416666666666668,Dark Red,2024-09-30T14:00:36.644567,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.683333333333334,78.2829604130809,0.06666666666666667,Blue,2024-09-30T14:00:36.734849,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,11.716666666666667,24.6674253200569,1.8833333333333333,Yellow,2024-09-30T14:00:36.830841,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
