road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.983333333333334,31.62535446205171,-0.6,Blue,2024-09-30T15:00:30.395540,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.333333333333333,22.70842105263158,-0.65,Blue,2024-09-30T15:00:30.537835,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-09-30T15:00:30.646727,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.316666666666666,74.95703192407248,1.0666666666666667,Yellow,2024-09-30T15:00:30.750067,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,24.05,43.68898128898129,10.933333333333334,Red,2024-09-30T15:00:30.846827,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,9.7,16.775257731958767,5.6,Dark Red,2024-09-30T15:00:30.943713,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-09-30T15:00:31.050350,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.3,80.83699421965318,2.1166666666666667,Yellow,2024-09-30T15:00:31.105726,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.966666666666667,47.95406698564593,0.6,Yellow,2024-09-30T15:00:31.271898,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.8,50.438848920863315,-3.566666666666667,Blue,2024-09-30T15:00:31.376802,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.433333333333334,44.001413427561836,-0.16666666666666666,Blue,2024-09-30T15:00:31.463522,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.75,61.52170212765957,-0.9,Blue,2024-09-30T15:00:31.558273,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-09-30T15:00:31.661609,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,23.383333333333333,30.70648610121169,6.05,Orange,2024-09-30T15:00:31.759852,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,11.533333333333333,33.710982658959544,1.9333333333333333,Orange,2024-09-30T15:00:31.861116,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
