road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.666666666666668,29.027076923076923,1.2,Yellow,2024-09-30T16:00:30.337161,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.583333333333333,21.846075949367087,-0.4,Blue,2024-09-30T16:00:30.471218,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.466666666666665,37.71061643835616,-0.43333333333333335,Blue,2024-09-30T16:00:30.605032,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.933333333333334,72.638127090301,1.6833333333333333,Yellow,2024-09-30T16:00:30.718934,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,22.533333333333335,46.576331360946746,10.25,Red,2024-09-30T16:00:30.836428,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.9,27.579661016949153,1.8,Orange,2024-09-30T16:00:30.934699,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-09-30T16:00:31.040398,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.966666666666665,77.8374768089054,2.783333333333333,Yellow,2024-09-30T16:00:31.100081,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.5,51.39692307692307,0.13333333333333333,Blue,2024-09-30T16:00:31.230577,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.5,55.770491803278695,-0.13333333333333333,Blue,2024-09-30T16:00:31.347530,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.483333333333333,43.769420035149395,-0.11666666666666667,Blue,2024-09-30T16:00:31.445755,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.966666666666667,60.40779944289693,-0.6833333333333333,Blue,2024-09-30T16:00:31.536484,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-30T16:00:31.616743,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.233333333333334,32.294752623688154,4.9,Orange,2024-09-30T16:00:31.709337,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.15,38.30541871921183,0.55,Yellow,2024-09-30T16:00:31.792621,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.516666666666667,43.94397244546498,-0.43333333333333335,Blue,2024-09-30T16:00:31.881627,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.75,40.41882352941177,-0.35,Blue,2024-09-30T16:00:31.970612,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.916666666666666,62.24178770949721,-0.1,Blue,2024-09-30T16:00:32.056207,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.1,41.598347107438016,0.8,Yellow,2024-09-30T16:00:32.156362,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.6,51.280952380952385,-1.05,Blue,2024-09-30T16:00:32.273311,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-30T16:00:32.398478,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
