road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.083333333333332,29.8301976284585,0.6166666666666667,Blue,2024-09-30T17:00:30.767272,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-09-30T17:00:30.873855,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-09-30T17:00:31.004219,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.483333333333334,78.33651938683498,0.23333333333333334,Blue,2024-09-30T17:00:31.114086,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.233333333333333,85.79182561307903,-0.05,Blue,2024-09-30T17:00:31.251251,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.583333333333333,35.50254545454546,0.48333333333333334,Yellow,2024-09-30T17:00:31.361033,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.383333333333333,47.3676500508647,-0.08333333333333333,Blue,2024-09-30T17:00:31.476781,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.05,87.13271028037383,0.8666666666666667,Yellow,2024-09-30T17:00:31.520917,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.65,50.2375939849624,0.2833333333333333,Blue,2024-09-30T17:00:31.615976,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.616666666666667,55.55797495917256,-0.016666666666666666,Blue,2024-09-30T17:00:31.703808,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-09-30T17:00:31.795510,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.083333333333334,59.824551724137926,-0.5666666666666667,Blue,2024-09-30T17:00:31.876700,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-09-30T17:00:31.959962,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,19.466666666666665,36.88458904109589,2.1333333333333333,Yellow,2024-09-30T17:00:32.046773,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.883333333333333,39.338954468802704,0.2833333333333333,Blue,2024-09-30T17:00:32.139352,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-09-30T17:00:32.249557,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.75,40.41882352941177,-0.35,Blue,2024-09-30T17:00:32.335734,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.533333333333333,43.26650246305419,-0.8333333333333334,Blue,2024-09-30T17:00:32.431418,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.283333333333333,37.57774762550882,0.21666666666666667,Blue,2024-09-30T17:00:32.524498,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.8,50.4796875,-0.85,Blue,2024-09-30T17:00:32.604142,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-09-30T17:00:32.692734,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.616666666666667,72.98441215323645,-0.7,Blue,2024-09-30T17:00:32.780670,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.8,46.4,-0.03333333333333333,Blue,2024-09-30T17:00:32.862093,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-30T17:00:32.941861,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T17:00:33.052893,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.933333333333334,69.2597014925373,0.1,Blue,2024-09-30T17:00:33.142579,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.05,64.27126436781609,-0.6,Blue,2024-09-30T17:00:33.222171,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.35,66.22429906542057,0.1,Blue,2024-09-30T17:00:33.312645,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.983333333333334,84.65463873450193,-1.3,Blue,2024-09-30T17:00:33.409591,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,28.25,66.90690265486725,2.5833333333333335,Yellow,2024-09-30T17:00:33.564524,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.716666666666667,86.94224235560588,0.13333333333333333,Blue,2024-09-30T17:00:33.639842,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.416666666666668,68.72170212765957,-0.11666666666666667,Blue,2024-09-30T17:00:33.725710,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.683333333333334,82.82072936660269,0.2,Blue,2024-09-30T17:00:33.814950,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.616666666666667,41.250290135396526,-0.31666666666666665,Blue,2024-09-30T17:00:33.908315,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.2,40.2,0.016666666666666666,Blue,2024-09-30T17:00:34.007295,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.916666666666666,105.0485496183206,-0.9166666666666666,Blue,2024-09-30T17:00:34.092961,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.85,73.62397476340695,0.23333333333333334,Blue,2024-09-30T17:00:34.193634,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.416666666666667,35.11698113207547,0.06666666666666667,Blue,2024-09-30T17:00:34.303667,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.966666666666667,64.62879177377893,-0.6,Blue,2024-09-30T17:00:34.392456,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.416666666666666,80.48347826086957,-0.55,Blue,2024-09-30T17:00:34.480127,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,12.3,60.575609756097556,1.05,Yellow,2024-09-30T17:00:34.561483,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.016666666666667,82.44823284823283,-0.13333333333333333,Blue,2024-09-30T17:00:34.720374,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.233333333333333,104.55489614243324,-0.9166666666666666,Blue,2024-09-30T17:00:34.772179,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,7.166666666666667,63.78697674418604,-0.36666666666666664,Blue,2024-09-30T17:00:34.860214,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.833333333333334,61.21661538461539,0.23333333333333334,Blue,2024-09-30T17:00:34.941862,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,12.8,68.02499999999999,1.7166666666666666,Yellow,2024-09-30T17:00:35.042175,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.7,72.29690721649486,-0.26666666666666666,Blue,2024-09-30T17:00:35.136975,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.3,37.59016393442623,-0.38333333333333336,Blue,2024-09-30T17:00:35.259643,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.183333333333334,77.62094926350245,-0.5,Blue,2024-09-30T17:00:35.351567,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,10.016666666666667,64.9377703826955,1.5666666666666667,Yellow,2024-09-30T17:00:35.434825,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.8333333333333335,37.5495652173913,0.11666666666666667,Blue,2024-09-30T17:00:35.518048,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,20.866666666666667,51.02396166134185,2.4,Yellow,2024-09-30T17:00:35.602211,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,27.333333333333332,27.662926829268294,14.216666666666667,Dark Red,2024-09-30T17:00:35.752262,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,6.616666666666666,18.78891687657431,1.2333333333333334,Orange,2024-09-30T17:00:35.859107,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,31.72,27.683333333333334,68.74894641782059,2.9833333333333334,Yellow,2024-09-30T17:00:36.038531,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,10.733333333333333,34.21677018633541,1.2833333333333334,Yellow,2024-09-30T17:00:36.133523,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,26.616666666666667,37.62529743268628,10.266666666666667,Red,2024-09-30T17:00:36.268366,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,11.7,64.7897435897436,2.0833333333333335,Orange,2024-09-30T17:00:36.357660,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,11.183333333333334,25.843815201192253,1.35,Yellow,2024-09-30T17:00:36.454494,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,15.366666666666667,65.92841648590021,-0.25,Blue,2024-09-30T17:00:36.553744,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,16.983333333333334,51.046516192345436,2.533333333333333,Yellow,2024-09-30T17:00:36.659545,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.8,37.35789473684211,-0.13333333333333333,Blue,2024-09-30T17:00:36.747668,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.1,90.31413612565444,-1.3,Blue,2024-09-30T17:00:36.840811,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,4.089,6.116666666666666,40.110081743869216,-0.23333333333333334,Blue,2024-09-30T17:00:36.933785,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,18.366666666666667,43.83375680580762,0.2,Blue,2024-09-30T17:00:37.035808,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.404,13.116666666666667,52.165692503176615,0.7166666666666667,Yellow,2024-09-30T17:00:37.119165,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.95,56.32941176470589,0.38333333333333336,Yellow,2024-09-30T17:00:37.224300,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,11.163,17.85,37.52268907563025,1.3666666666666667,Yellow,2024-09-30T17:00:37.323966,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.65,44.354959785522794,-2.8,Blue,2024-09-30T17:00:37.427271,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,28.816666666666666,50.327125506072875,7.633333333333334,Orange,2024-09-30T17:00:37.598239,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,17.15,78.60174927113702,-0.6833333333333333,Blue,2024-09-30T17:00:37.676515,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,3.1166666666666667,39.09946524064171,0.03333333333333333,Blue,2024-09-30T17:00:37.760043,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,25.066666666666666,44.26755319148936,5.05,Orange,2024-09-30T17:00:37.937282,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,11.2,32.48571428571429,3.9,Red,2024-09-30T17:00:38.039320,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,13.783333333333333,48.8677146311971,2.1666666666666665,Yellow,2024-09-30T17:00:38.132472,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
