road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.85,28.78352402745995,1.3833333333333333,Yellow,2024-09-30T18:00:30.360238,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-09-30T18:00:30.469185,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.4,37.84020618556701,-0.5,Blue,2024-09-30T18:00:30.583699,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.483333333333334,78.33651938683498,0.23333333333333334,Blue,2024-09-30T18:00:30.705608,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.866666666666667,88.44269662921349,-0.4166666666666667,Blue,2024-09-30T18:00:30.829432,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.483333333333333,36.294423791821565,0.38333333333333336,Yellow,2024-09-30T18:00:30.932810,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-09-30T18:00:31.050336,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.066666666666666,87.04232365145228,0.8833333333333333,Yellow,2024-09-30T18:00:31.110624,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.483333333333333,51.52904884318766,0.11666666666666667,Blue,2024-09-30T18:00:31.210441,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.1,56.51162790697674,-0.5333333333333333,Blue,2024-09-30T18:00:31.315573,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-09-30T18:00:31.410343,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.266666666666667,58.93043478260869,-0.38333333333333336,Blue,2024-09-30T18:00:31.499073,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.1,39.251612903225805,0.05,Blue,2024-09-30T18:00:31.585280,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.283333333333335,39.2718322698268,0.95,Yellow,2024-09-30T18:00:31.692521,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.55,40.712041884816756,-0.05,Blue,2024-09-30T18:00:31.773994,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.316666666666666,44.557857974388824,-0.6333333333333333,Blue,2024-09-30T18:00:31.860444,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.5,41.2272,-0.6,Blue,2024-09-30T18:00:31.937088,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.933333333333334,45.273711340206184,-1.4333333333333333,Blue,2024-09-30T18:00:32.037068,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.783333333333333,42.71626591230551,0.48333333333333334,Blue,2024-09-30T18:00:32.140313,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.783333333333333,50.54550195567145,-0.8666666666666667,Blue,2024-09-30T18:00:32.248819,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-30T18:00:32.339326,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.233333333333333,75.27138964577657,-1.0833333333333333,Blue,2024-09-30T18:00:32.419223,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.733333333333333,47.05352112676057,-0.1,Blue,2024-09-30T18:00:32.499187,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-09-30T18:00:32.584329,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-09-30T18:00:32.679703,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.983333333333333,68.87421150278294,0.15,Blue,2024-09-30T18:00:32.773880,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.966666666666667,64.68431876606684,-0.6833333333333333,Blue,2024-09-30T18:00:32.852244,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.35,66.22429906542057,0.1,Blue,2024-09-30T18:00:32.937312,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,40.35,81.78736059479554,0.06666666666666667,Blue,2024-09-30T18:00:33.075296,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.883333333333333,75.95927662424648,-0.7833333333333333,Blue,2024-09-30T18:00:33.192752,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.683333333333334,87.13961407491486,0.1,Blue,2024-09-30T18:00:33.291613,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.366666666666667,68.84725943970767,-0.16666666666666666,Blue,2024-09-30T18:00:33.395522,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.533333333333333,84.27656250000001,0.05,Blue,2024-09-30T18:00:33.479921,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.65,41.09132947976879,-0.2833333333333333,Blue,2024-09-30T18:00:33.559683,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.566666666666667,36.06728971962617,0.38333333333333336,Yellow,2024-09-30T18:00:33.648035,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.883333333333333,105.37029096477795,-0.95,Blue,2024-09-30T18:00:33.734144,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,15.733333333333333,74.16991525423731,0.11666666666666667,Blue,2024-09-30T18:00:33.823946,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.466666666666667,34.72388059701492,0.11666666666666667,Blue,2024-09-30T18:00:33.907295,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.166666666666666,63.64708860759494,-0.4,Blue,2024-09-30T18:00:33.995080,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.366666666666667,80.78453865336658,-0.6,Blue,2024-09-30T18:00:34.074083,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,12.418,12.266666666666667,60.74021739130434,1.0166666666666666,Yellow,2024-09-30T18:00:34.152867,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.3,79.63373493975904,0.15,Blue,2024-09-30T18:00:34.261019,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.233333333333333,104.55489614243324,-0.9166666666666666,Blue,2024-09-30T18:00:34.309912,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.983333333333333,65.4615751789976,-0.55,Blue,2024-09-30T18:00:34.403001,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,10.633333333333333,62.36802507836991,0.03333333333333333,Blue,2024-09-30T18:00:34.492997,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,12.866666666666667,67.67253886010363,1.7833333333333334,Yellow,2024-09-30T18:00:34.601559,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.716666666666667,72.1728987993139,-0.25,Blue,2024-09-30T18:00:34.691854,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.366666666666667,37.45372050816697,-0.31666666666666665,Blue,2024-09-30T18:00:34.785454,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,10.1,78.26138613861386,-0.5833333333333334,Blue,2024-09-30T18:00:34.873170,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,10.416666666666666,62.44416,1.9666666666666666,Orange,2024-09-30T18:00:34.970824,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.75,38.384,0.03333333333333333,Blue,2024-09-30T18:00:35.052714,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,19.383333333333333,54.92863284608771,0.9166666666666666,Blue,2024-09-30T18:00:35.192735,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,23.95,31.570772442588726,10.833333333333334,Red,2024-09-30T18:00:35.344151,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,7.4,16.8,2.0166666666666666,Orange,2024-09-30T18:00:35.444230,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,22.866666666666667,73.65830903790086,0.31666666666666665,Blue,2024-09-30T18:00:35.557315,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,9.85,37.28527918781727,0.4,Blue,2024-09-30T18:00:35.677611,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,21.333333333333332,46.9434375,4.983333333333333,Orange,2024-09-30T18:00:35.778404,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,9.6,78.9625,-0.016666666666666666,Blue,2024-09-30T18:00:35.869168,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,6.86,14.216666666666667,28.951934349355216,2.0,Yellow,2024-09-30T18:00:35.962729,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,15.366666666666667,65.92841648590021,-0.25,Blue,2024-09-30T18:00:36.058603,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,16.383333333333333,52.91597151576806,1.9333333333333333,Yellow,2024-09-30T18:00:36.132797,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.7666666666666666,37.68849557522124,-0.16666666666666666,Blue,2024-09-30T18:00:36.238710,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.316666666666666,89.30112165660053,-1.0833333333333333,Blue,2024-09-30T18:00:36.337609,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,4.089,6.083333333333333,40.329863013698635,-0.26666666666666666,Blue,2024-09-30T18:00:36.449007,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
