road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.816666666666666,30.21232986389111,0.35,Blue,2024-09-30T19:00:30.456480,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.95,24.17142857142857,-1.0333333333333334,Blue,2024-09-30T19:00:30.571313,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.5,37.646153846153844,-0.4,Blue,2024-09-30T19:00:30.684645,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.1,84.67368421052632,-1.15,Blue,2024-09-30T19:00:30.804581,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.733333333333333,89.44772727272729,-0.55,Blue,2024-09-30T19:00:30.913070,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.116666666666666,39.52712550607288,0.016666666666666666,Blue,2024-09-30T19:00:31.024569,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.333333333333332,47.51265306122449,-0.13333333333333333,Blue,2024-09-30T19:00:31.160008,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.733333333333333,94.91945701357466,-0.45,Blue,2024-09-30T19:00:31.213060,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.483333333333333,51.52904884318766,0.11666666666666667,Blue,2024-09-30T19:00:31.309274,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.666666666666668,55.46739130434782,0.03333333333333333,Blue,2024-09-30T19:00:31.476959,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-09-30T19:00:31.572045,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.833333333333334,61.088450704225345,-0.8166666666666667,Blue,2024-09-30T19:00:31.671165,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-09-30T19:00:31.761989,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.316666666666666,44.005311542390196,-1.0166666666666666,Blue,2024-09-30T19:00:31.878880,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.383333333333333,41.43516873889876,-0.21666666666666667,Blue,2024-09-30T19:00:31.977570,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.316666666666666,44.557857974388824,-0.6333333333333333,Blue,2024-09-30T19:00:32.066798,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.866666666666667,40.052331606217614,-0.23333333333333334,Blue,2024-09-30T19:00:32.157477,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.966666666666667,45.1573264781491,-1.4,Blue,2024-09-30T19:00:32.260347,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
