road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.4,29.388785046728973,0.9333333333333333,Blue,2024-09-30T20:00:31.306200,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.216666666666667,23.134584450402144,-0.7666666666666667,Blue,2024-09-30T20:00:31.416869,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.65,37.3587786259542,-0.25,Blue,2024-09-30T20:00:31.531566,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.583333333333332,82.34616113744077,-0.6666666666666666,Blue,2024-09-30T20:00:31.647133,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.85,88.56708860759495,-0.43333333333333335,Blue,2024-09-30T20:00:31.747828,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.766666666666667,28.217341040462433,1.6666666666666667,Orange,2024-09-30T20:00:31.854267,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-09-30T20:00:31.948068,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.25,91.70360655737706,0.06666666666666667,Blue,2024-09-30T20:00:31.990999,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.716666666666667,49.738957816377166,0.35,Yellow,2024-09-30T20:00:32.079693,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,32.36666666666667,52.55406797116375,1.7333333333333334,Yellow,2024-09-30T20:00:32.163062,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.35,44.39358288770054,-0.25,Blue,2024-09-30T20:00:32.257313,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.816666666666666,61.17461212976023,-0.8333333333333334,Blue,2024-09-30T20:00:32.367540,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-09-30T20:00:32.450563,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.15,44.459442724458206,-1.1833333333333333,Blue,2024-09-30T20:00:32.537380,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.15,42.49180327868853,-0.45,Blue,2024-09-30T20:00:32.631310,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.983333333333333,42.57530589543938,0.03333333333333333,Blue,2024-09-30T20:00:32.711634,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.066666666666666,39.43928571428572,-0.03333333333333333,Blue,2024-09-30T20:00:32.793395,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.383333333333333,64.5497103128621,-0.6333333333333333,Blue,2024-09-30T20:00:32.887560,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,12.45,37.07469879518072,0.38333333333333336,Blue,2024-09-30T20:00:32.976881,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.283333333333333,52.602985074626865,-1.3666666666666667,Blue,2024-09-30T20:00:33.067338,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.15,46.413622291021674,-0.7333333333333333,Blue,2024-09-30T20:00:33.155412,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.0,70.8323076923077,-0.31666666666666665,Blue,2024-09-30T20:00:33.271006,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.783333333333333,46.561672473867596,-0.05,Blue,2024-09-30T20:00:33.367917,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
