road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.366666666666667,30.879869067103108,-0.1,Blue,2024-09-30T21:00:30.153944,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.133333333333334,23.448913043478257,-0.85,Blue,2024-09-30T21:00:30.275485,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.45,37.742930591259636,-0.45,Blue,2024-09-30T21:00:30.373716,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.033333333333335,85.0050880626223,-1.2166666666666666,Blue,2024-09-30T21:00:30.476973,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.15,86.38024691358025,-0.13333333333333333,Blue,2024-09-30T21:00:30.562923,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.35,37.406896551724145,0.25,Yellow,2024-09-30T21:00:30.654947,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.383333333333333,47.3676500508647,-0.08333333333333333,Blue,2024-09-30T21:00:30.735887,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.7,95.13469387755102,-0.48333333333333334,Blue,2024-09-30T21:00:30.797565,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.533333333333333,51.13469387755102,0.16666666666666666,Blue,2024-09-30T21:00:30.898812,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.083333333333332,46.48886426592798,-2.0,Blue,2024-09-30T21:00:30.997151,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.766666666666667,42.49965870307167,0.16666666666666666,Blue,2024-09-30T21:00:31.075284,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.733333333333333,61.60909090909092,-0.9166666666666666,Blue,2024-09-30T21:00:31.156521,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8,43.45714285714286,-0.25,Blue,2024-09-30T21:00:31.270565,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.35,43.91559633027523,-0.9833333333333333,Blue,2024-09-30T21:00:31.351764,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.85,43.93220338983051,-0.75,Blue,2024-09-30T21:00:31.431464,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.85,42.95757575757575,-0.1,Blue,2024-09-30T21:00:31.502702,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.566666666666666,37.98574938574939,0.4666666666666667,Blue,2024-09-30T21:00:31.580943,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.416666666666666,60.223135135135145,0.4,Blue,2024-09-30T21:00:31.664389,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.15,41.42716049382715,0.85,Yellow,2024-09-30T21:00:31.749488,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.4,52.10806451612903,-1.25,Blue,2024-09-30T21:00:31.831585,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
