road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.683333333333334,33.66208742194469,-1.7833333333333334,Blue,2024-09-30T22:00:29.599821,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-30T22:00:29.723510,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.716666666666665,37.23245984784447,-0.18333333333333332,Blue,2024-09-30T22:00:29.817054,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.383333333333333,83.29357622243529,-0.8666666666666667,Blue,2024-09-30T22:00:29.925201,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.716666666666667,89.57496443812234,-0.5666666666666667,Blue,2024-09-30T22:00:30.008531,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6333333333333333,44.785321100917436,-0.4666666666666667,Blue,2024-09-30T22:00:30.101644,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.316666666666666,47.5611848825332,-0.15,Blue,2024-09-30T22:00:30.199858,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.75,94.81220338983051,-0.43333333333333335,Blue,2024-09-30T22:00:30.245310,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.85,48.770802919708025,0.48333333333333334,Yellow,2024-09-30T22:00:30.332896,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,31.05,54.78260869565218,0.4166666666666667,Blue,2024-09-30T22:00:30.431514,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.733333333333333,42.64520547945206,0.13333333333333333,Blue,2024-09-30T22:00:30.522783,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.566666666666666,62.49682997118156,-1.0833333333333333,Blue,2024-09-30T22:00:30.604210,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.933333333333333,41.481818181818184,-0.11666666666666667,Blue,2024-09-30T22:00:30.680043,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.1,44.59751552795031,-1.2333333333333334,Blue,2024-09-30T22:00:30.759256,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.016666666666667,43.12014787430684,-0.5833333333333334,Blue,2024-09-30T22:00:30.848305,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
