road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.8,33.4531914893617,-1.6666666666666667,Blue,2024-09-30T23:00:30.385410,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.866666666666666,24.514772727272728,-1.1166666666666667,Blue,2024-09-30T23:00:30.494686,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.616666666666667,37.42225998300765,-0.2833333333333333,Blue,2024-09-30T23:00:30.591739,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.333333333333332,83.53384615384617,-0.9166666666666666,Blue,2024-09-30T23:00:30.696633,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.733333333333333,89.44772727272729,-0.55,Blue,2024-09-30T23:00:30.795724,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.566666666666667,45.62242990654206,-0.5333333333333333,Blue,2024-09-30T23:00:30.922064,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.5,47.032727272727264,0.03333333333333333,Blue,2024-09-30T23:00:31.001226,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.4,97.11666666666666,-0.7833333333333333,Blue,2024-09-30T23:00:31.046575,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.216666666666667,53.73941018766756,-0.15,Blue,2024-09-30T23:00:31.129391,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,22.943,30.55,45.05990180032734,-2.1166666666666667,Blue,2024-09-30T23:00:31.199316,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-09-30T23:00:31.294335,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
