road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.283333333333335,34.39854147675478,-2.183333333333333,Blue,2024-10-01T00:00:30.210835,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.833333333333333,24.65485714285714,-1.15,Blue,2024-10-01T00:00:30.332574,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.883333333333333,36.920368818105615,-0.016666666666666666,Blue,2024-10-01T00:00:30.439180,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.083333333333332,84.75629268292684,-1.1666666666666667,Blue,2024-10-01T00:00:30.548705,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.7,89.70256410256411,-0.5833333333333334,Blue,2024-10-01T00:00:30.645021,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.55,45.83661971830986,-0.55,Blue,2024-10-01T00:00:30.728277,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-10-01T00:00:30.811114,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.4,97.11666666666666,-0.7833333333333333,Blue,2024-10-01T00:00:30.887902,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.15,46.72447552447552,0.7833333333333333,Yellow,2024-10-01T00:00:30.973032,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,31.366666666666667,54.22954303931987,0.7333333333333333,Blue,2024-10-01T00:00:31.075977,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.466666666666667,43.84647887323944,-0.13333333333333333,Blue,2024-10-01T00:00:31.158382,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.416666666666666,63.31795620437956,-1.2333333333333334,Blue,2024-10-01T00:00:31.247707,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-10-01T00:00:31.329103,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.6,46.026923076923076,-1.7333333333333334,Blue,2024-10-01T00:00:31.405324,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.05,42.96132596685083,-0.55,Blue,2024-10-01T00:00:31.503612,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.983333333333333,42.57530589543938,0.03333333333333333,Blue,2024-10-01T00:00:31.585697,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.516666666666667,38.12626387176326,0.4166666666666667,Blue,2024-10-01T00:00:31.658889,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.85,45.56731517509728,-1.5166666666666666,Blue,2024-10-01T00:00:31.748595,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.5,47.93714285714286,-0.8,Blue,2024-10-01T00:00:31.823137,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.133333333333333,53.253296703296705,-1.5166666666666666,Blue,2024-10-01T00:00:31.908001,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-10-01T00:00:32.011418,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,14.8,62.21756756756756,1.4833333333333334,Yellow,2024-10-01T00:00:32.102936,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.65,47.89677419354839,-0.18333333333333332,Blue,2024-10-01T00:00:32.184636,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.033333333333333,44.50184501845018,-0.5333333333333333,Blue,2024-10-01T00:00:32.265395,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T00:00:32.355560,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.2,67.25217391304348,0.36666666666666664,Blue,2024-10-01T00:00:32.457841,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.5,62.12888888888888,-0.15,Blue,2024-10-01T00:00:32.531318,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.233333333333333,67.70063694267516,-0.016666666666666666,Blue,2024-10-01T00:00:32.638272,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.36666666666667,86.01529105125978,-1.9166666666666667,Blue,2024-10-01T00:00:32.751096,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.966666666666665,78.86453407510432,-1.7,Blue,2024-10-01T00:00:32.861343,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,15.316666666666666,83.53645266594124,0.7333333333333333,Yellow,2024-10-01T00:00:32.933969,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.383333333333333,71.41326595072647,-1.15,Blue,2024-10-01T00:00:33.009558,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.2,87.70243902439026,-0.2833333333333333,Blue,2024-10-01T00:00:33.088405,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.333333333333334,42.6528,-0.6,Blue,2024-10-01T00:00:33.158722,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.0833333333333335,41.72108108108108,-0.1,Blue,2024-10-01T00:00:33.235250,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,12.583333333333334,91.13483443708608,0.75,Yellow,2024-10-01T00:00:33.320358,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,14.366666666666667,81.22552204176334,-1.25,Blue,2024-10-01T00:00:33.397563,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,3.8833333333333333,39.93991416309013,-0.4666666666666667,Blue,2024-10-01T00:00:33.472199,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,14.316666666666666,58.53457508731083,0.75,Yellow,2024-10-01T00:00:33.554881,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.083333333333334,82.5340127388535,-0.8833333333333333,Blue,2024-10-01T00:00:33.649001,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.15,51.73770491803278,-1.5166666666666666,Blue,2024-10-01T00:00:33.720491,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,8.483333333333333,77.91277013752457,0.3333333333333333,Blue,2024-10-01T00:00:33.797241,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
