road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.966666666666665,33.15922671353252,-1.5,Blue,2024-10-01T01:00:30.023943,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.766666666666667,24.939884393063583,-1.2166666666666666,Blue,2024-10-01T01:00:30.162654,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-10-01T01:00:30.257111,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.1,84.67368421052632,-1.15,Blue,2024-10-01T01:00:30.360122,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.733333333333333,89.44772727272729,-0.55,Blue,2024-10-01T01:00:30.448984,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.6,45.2,-0.5,Blue,2024-10-01T01:00:30.543776,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.6,46.74939759036144,0.13333333333333333,Blue,2024-10-01T01:00:30.654833,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.383333333333333,97.22920046349942,-0.8,Blue,2024-10-01T01:00:30.694906,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.066666666666666,55.068131868131864,-0.3,Blue,2024-10-01T01:00:30.781314,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.4,46.004605263157906,-1.6833333333333333,Blue,2024-10-01T01:00:30.916748,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.533333333333333,43.53986013986014,-0.06666666666666667,Blue,2024-10-01T01:00:30.993951,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
