road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.75,33.5424,-1.7166666666666666,Blue,2024-10-01T02:00:30.277147,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.8,24.79655172413793,-1.1833333333333333,Blue,2024-10-01T02:00:30.398797,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.433333333333334,37.77530017152658,-0.4666666666666667,Blue,2024-10-01T02:00:30.489620,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-10-01T02:00:30.609464,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.45,91.66113537117904,-0.8333333333333334,Blue,2024-10-01T02:00:30.716566,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.75,43.392,-0.35,Blue,2024-10-01T02:00:30.807022,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.433333333333334,47.2235294117647,-0.03333333333333333,Blue,2024-10-01T02:00:30.887256,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-10-01T02:00:30.928769,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-10-01T02:00:31.022199,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.633333333333333,47.19482564679415,-2.45,Blue,2024-10-01T02:00:31.121853,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.4,44.157446808510635,-0.2,Blue,2024-10-01T02:00:31.213506,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.683333333333334,61.872753209700434,-0.9666666666666667,Blue,2024-10-01T02:00:31.303684,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8666666666666667,42.44651162790697,-0.18333333333333332,Blue,2024-10-01T02:00:31.378796,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.783333333333333,45.49229144667371,-1.55,Blue,2024-10-01T02:00:31.466211,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.4,41.361702127659576,-0.2,Blue,2024-10-01T02:00:31.547667,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.85,42.95757575757575,-0.1,Blue,2024-10-01T02:00:31.621848,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.9,39.948837209302326,-0.2,Blue,2024-10-01T02:00:31.692016,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.266666666666667,44.13618090452261,-1.1,Blue,2024-10-01T02:00:31.772576,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
