road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.866666666666667,30.13993610223642,0.4,Blue,2024-10-01T03:00:29.806466,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.933333333333334,24.239325842696626,-1.05,Blue,2024-10-01T03:00:29.937338,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.366666666666667,37.90533562822719,-0.5333333333333333,Blue,2024-10-01T03:00:30.018270,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.833333333333332,86.0150495049505,-1.4166666666666667,Blue,2024-10-01T03:00:30.112102,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.883333333333333,96.43369065849924,-1.4,Blue,2024-10-01T03:00:30.200814,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.633333333333334,35.11942446043165,0.5333333333333333,Yellow,2024-10-01T03:00:30.279588,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.283333333333335,47.65854657113613,-0.18333333333333332,Blue,2024-10-01T03:00:30.363478,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.616666666666667,95.67708095781072,-0.5666666666666667,Blue,2024-10-01T03:00:30.419047,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.933333333333334,56.30561797752809,-0.43333333333333335,Blue,2024-10-01T03:00:30.513253,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.433333333333334,59.824150058616645,-2.2,Blue,2024-10-01T03:00:30.596067,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-10-01T03:00:30.668100,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.733333333333333,61.60909090909092,-0.9166666666666666,Blue,2024-10-01T03:00:30.744390,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.95,41.24745762711864,-0.1,Blue,2024-10-01T03:00:30.816073,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.1,47.55099337748345,-2.2333333333333334,Blue,2024-10-01T03:00:30.899710,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.05,42.96132596685083,-0.55,Blue,2024-10-01T03:00:30.972258,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.15,42.10693069306931,0.2,Blue,2024-10-01T03:00:31.042692,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.233333333333333,38.942569269521414,0.13333333333333333,Blue,2024-10-01T03:00:31.141146,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.416666666666666,47.15758389261745,-1.95,Blue,2024-10-01T03:00:31.213294,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.316666666666666,44.477761413843886,0.016666666666666666,Blue,2024-10-01T03:00:31.284004,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.15,53.18024691358024,-1.5,Blue,2024-10-01T03:00:31.358470,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.366666666666667,45.79918533604888,-0.5166666666666667,Blue,2024-10-01T03:00:31.426489,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,11.833333333333334,77.81577464788731,-1.4833333333333334,Blue,2024-10-01T03:00:31.514610,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.616666666666666,48.24259927797834,-0.21666666666666667,Blue,2024-10-01T03:00:31.718072,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.316666666666666,43.1484794275492,-0.25,Blue,2024-10-01T03:00:31.790205,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T03:00:31.932835,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.7,71.11724137931034,-0.13333333333333333,Blue,2024-10-01T03:00:32.014915,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.433333333333334,67.45898123324396,-1.2166666666666666,Blue,2024-10-01T03:00:32.080658,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.0,70.86000000000001,-0.25,Blue,2024-10-01T03:00:32.153407,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,41.5,79.5209638554217,1.2166666666666666,Blue,2024-10-01T03:00:32.245879,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.433333333333334,80.65945945945946,-2.2333333333333334,Blue,2024-10-01T03:00:32.340630,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.366666666666667,95.72319201995012,-1.2166666666666666,Blue,2024-10-01T03:00:32.410632,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,25.85,72.88665377176015,-1.6833333333333333,Blue,2024-10-01T03:00:32.491382,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,7.916666666666667,90.84126315789474,-0.5666666666666667,Blue,2024-10-01T03:00:32.564697,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.533333333333333,41.653125,-0.4,Blue,2024-10-01T03:00:32.633923,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.566666666666667,36.06728971962617,0.38333333333333336,Yellow,2024-10-01T03:00:32.714963,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.9,105.2091743119266,-0.9333333333333333,Blue,2024-10-01T03:00:32.792779,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.452,18.633333333333333,62.6361359570662,0.8333333333333334,Blue,2024-10-01T03:00:32.902203,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,4.116666666666666,37.67611336032389,-0.23333333333333334,Blue,2024-10-01T03:00:32.975352,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,13.133333333333333,63.80862944162437,-0.43333333333333335,Blue,2024-10-01T03:00:33.057125,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,13.083333333333334,82.5340127388535,-0.8833333333333333,Blue,2024-10-01T03:00:33.131467,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,7.89,9.266666666666667,51.08633093525179,-1.4,Blue,2024-10-01T03:00:33.206732,"(24.8262209, 46.613041)","(24.8071331, 46.58059009999999)"
Al Janadriyah,11.016,7.783333333333333,84.91991434689508,-0.36666666666666664,Blue,2024-10-01T03:00:33.292531,"(24.9446738, 46.99754)","(24.9458889, 47.00449709999999)"
Al Janadriyah,19.575,11.233333333333333,104.55489614243324,-0.9166666666666666,Blue,2024-10-01T03:00:33.331639,"(24.9458889, 47.00449709999999)","(24.8457928, 46.8565916)"
Al Janadriyah,7.619,6.9,66.25217391304348,-0.6333333333333333,Blue,2024-10-01T03:00:33.405834,"(24.8457928, 46.8565916)","(24.7890094, 46.8449595)"
Olaya Road,11.053,9.733333333333333,68.13493150684933,-0.8666666666666667,Blue,2024-10-01T03:00:33.479761,"(24.8283996, 46.6952763)","(24.7970264, 46.719939)"
Olaya Road,14.512,9.8,88.84897959183672,-1.2833333333333334,Blue,2024-10-01T03:00:33.557035,"(24.7970264, 46.719939)","(24.7388275, 46.59441409999999)"
Olaya Road,11.688,9.1,77.06373626373626,-0.8666666666666667,Blue,2024-10-01T03:00:33.629271,"(24.7388275, 46.59441409999999)","(24.6714694, 46.6223696)"
Airport Road,11.465,18.283333333333335,37.624430264357336,-0.4,Blue,2024-10-01T03:00:33.714206,"(24.993577, 46.7319439)","(24.9286095, 46.7150481)"
Airport Road,13.174,9.733333333333333,81.2095890410959,-0.95,Blue,2024-10-01T03:00:33.782499,"(24.9286095, 46.7150481)","(24.8315628, 46.7228638)"
Airport Road,10.841,7.566666666666666,85.96387665198237,-0.8833333333333333,Blue,2024-10-01T03:00:33.856322,"(24.8315628, 46.7228638)","(24.7686837, 46.6651902)"
Airport Road,2.399,3.6166666666666667,39.799078341013825,-0.1,Blue,2024-10-01T03:00:33.938659,"(24.7686837, 46.6651902)","(24.7792215, 46.65118289999999)"
East Ring Road,17.745,20.816666666666666,51.14651721377102,2.35,Yellow,2024-10-01T03:00:34.019468,"(24.7921779, 46.8058943)","(24.7298106, 46.6686894)"
East Ring Road,12.602,10.15,74.49458128078818,-2.966666666666667,Blue,2024-10-01T03:00:34.108324,"(24.7298106, 46.6686894)","(24.6280957, 46.7049403)"
East Ring Road,2.072,5.083333333333333,24.456393442622954,-0.3,Blue,2024-10-01T03:00:34.190899,"(24.6280957, 46.7049403)","(24.6217419, 46.716629)"
Western Ring Rd,28.072,19.25,87.49714285714285,-3.3,Blue,2024-10-01T03:00:34.300640,"(24.7396285, 46.6461567)","(24.5622416, 46.5102615)"
Western Ring Rd,6.121,8.833333333333334,41.57660377358491,-0.6166666666666667,Blue,2024-10-01T03:00:34.372780,"(24.5622416, 46.5102615)","(24.5537007, 46.5576904)"
شارع المدينة المنورة,16.691,13.15,76.15665399239543,-3.2,Blue,2024-10-01T03:00:34.452844,"(24.6637137, 46.7962236)","(24.5854047, 46.71030630000001)"
شارع المدينة المنورة,12.634,11.633333333333333,65.16103151862464,2.0166666666666666,Orange,2024-10-01T03:00:34.528522,"(24.5854047, 46.71030630000001)","(24.5819658, 46.6013966)"
شارع المدينة المنورة,4.817,10.966666666666667,26.354407294832825,1.1333333333333333,Yellow,2024-10-01T03:00:34.597286,"(24.5819658, 46.6013966)","(24.5633024, 46.57389740000001)"
Al Thoumamah Rd,16.885,14.716666666666667,68.84031710079276,-0.9,Blue,2024-10-01T03:00:34.677782,"(24.9379168, 46.8154625)","(24.828963, 46.7249418)"
Al Thoumamah Rd,14.449,12.016666666666667,72.14479889042995,-2.433333333333333,Blue,2024-10-01T03:00:34.748400,"(24.828963, 46.7249418)","(24.7478186, 46.64167339999999)"
Al Thoumamah Rd,2.366,3.7666666666666666,37.68849557522124,-0.16666666666666666,Blue,2024-10-01T03:00:34.816831,"(24.7478186, 46.64167339999999)","(24.7457307, 46.6293496)"
الشرق,28.75,19.05,90.55118110236221,-1.35,Blue,2024-10-01T03:00:34.897129,"(24.9969248, 47.0206805)","(24.836873, 46.8415833)"
الشرق,3.416,5.0,40.992000000000004,-0.5,Blue,2024-10-01T03:00:34.976286,"(24.836873, 46.8415833)","(24.8396783, 46.8220465)"
طريق الجنادرية,13.418,18.616666666666667,43.24512085944494,0.45,Blue,2024-10-01T03:00:35.040234,"(24.9709788, 46.86326409999999)","(24.8839823, 46.8066945)"
طريق الجنادرية,11.556,12.483333333333333,55.54285714285714,-0.43333333333333335,Blue,2024-10-01T03:00:35.108168,"(24.8839823, 46.8066945)","(24.8095731, 46.8085962)"
طريق الجنادرية,5.586,5.866666666666666,57.129545454545465,0.3,Yellow,2024-10-01T03:00:35.181471,"(24.8095731, 46.8085962)","(24.7796768, 46.78538289999999)"
وادي لبن,12.958,13.033333333333333,59.65319693094629,-1.2833333333333334,Blue,2024-10-01T03:00:35.255929,"(24.6413405, 46.6497779)","(24.6171257, 46.5705705)"
وادي لبن,13.787,18.683333333333334,44.27582515611062,-2.7666666666666666,Blue,2024-10-01T03:00:35.333862,"(24.6171257, 46.5705705)","(24.5678286, 46.4490594)"
King Abdullah Road,24.171,26.0,55.779230769230765,4.816666666666666,Orange,2024-10-01T03:00:35.432057,"(24.8027161, 46.8191147)","(24.70444, 46.6237931)"
جبل طويق,22.467,25.083333333333332,53.74166112956811,7.25,Orange,2024-10-01T03:00:35.505023,"(24.6110185, 46.5970853)","(24.5314227, 46.44674269999999)"
جبل طويق,2.031,3.0166666666666666,40.39558011049724,-0.06666666666666667,Blue,2024-10-01T03:00:35.580026,"(24.5314227, 46.44674269999999)","(24.5247086, 46.4398135)"
شارع وادي حنيفة,18.494,16.1,68.92173913043477,-3.9166666666666665,Blue,2024-10-01T03:00:35.659030,"(24.7034634, 46.68073680000001)","(24.6250566, 46.5780259)"
شارع وادي حنيفة,6.064,6.233333333333333,58.370053475935826,-1.0666666666666667,Blue,2024-10-01T03:00:35.740325,"(24.6250566, 46.5780259)","(24.6000653, 46.6023406)"
خالد ابن الوليد,11.226,13.6,49.5264705882353,1.9833333333333334,Yellow,2024-10-01T03:00:35.813201,"(24.8178307, 46.7892589)","(24.7924503, 46.7216817)"
خالد ابن الوليد,11.113,12.016666666666667,55.48793342579749,-1.4,Blue,2024-10-01T03:00:35.879916,"(24.7924503, 46.7216817)","(24.723778, 46.7334527)"
التخصصي,11.952,10.85,66.09400921658987,-2.1166666666666667,Blue,2024-10-01T03:00:35.960612,"(24.7575596, 46.6895021)","(24.70444, 46.6237931)"
التخصصي,10.133,10.866666666666667,55.94907975460122,-1.3333333333333333,Blue,2024-10-01T03:00:36.039570,"(24.70444, 46.6237931)","(24.6460356, 46.635986)"
Al Abbas Al Rashidi St.,10.56,10.733333333333333,59.031055900621126,-1.2,Blue,2024-10-01T03:00:36.119527,"(24.6923553, 46.84949959999999)","(24.632121, 46.8075755)"
Al Abbas Al Rashidi St.,10.676,10.833333333333334,59.12861538461539,-1.8,Blue,2024-10-01T03:00:36.187229,"(24.632121, 46.8075755)","(24.5901945, 46.7873646)"
Imam Malik Road,10.762,12.8,50.446875,-1.75,Blue,2024-10-01T03:00:36.287325,"(24.8504746, 46.717642)","(24.8387167, 46.6422775)"
Imam Malik Road,10.953,7.633333333333334,86.09344978165937,-0.43333333333333335,Blue,2024-10-01T03:00:36.380252,"(24.8387167, 46.6422775)","(24.7873741, 46.5671724)"
طريق الأمير سعد بن عبدالرحمن الأول,15.411,18.116666666666667,51.0391904323827,0.5666666666666667,Blue,2024-10-01T03:00:36.446523,"(24.727747, 46.8699947)","(24.7173974, 46.7662467)"
طريق الأمير سعد بن عبدالرحمن الأول,5.948,5.816666666666666,61.35472779369628,-1.0333333333333334,Blue,2024-10-01T03:00:36.523829,"(24.7173974, 46.7662467)","(24.6790397, 46.7766463)"
Al Muhareb,11.769,12.0,58.845,-3.3833333333333333,Blue,2024-10-01T03:00:36.600964,"(24.6432381, 46.7284768)","(24.5853478, 46.7106843)"
Al Muhareb,8.708,8.833333333333334,59.14867924528302,-0.5666666666666667,Blue,2024-10-01T03:00:36.677293,"(24.5853478, 46.7106843)","(24.5476694, 46.6484324)"
Othman Bin Affan Road,13.485,10.366666666666667,78.04823151125402,-0.9,Blue,2024-10-01T03:00:36.753334,"(24.8541823, 46.7284922)","(24.7712434, 46.6712966)"
Othman Bin Affan Road,5.705,6.633333333333334,51.60301507537688,-1.1,Blue,2024-10-01T03:00:36.821156,"(24.7712434, 46.6712966)","(24.7410192, 46.6707912)"
Al Nahdha road,10.89,10.433333333333334,62.626198083067095,-2.283333333333333,Blue,2024-10-01T03:00:36.895008,"(24.7084279, 46.7865834)","(24.6365608, 46.8002853)"
Al Nahdha road,8.132,7.033333333333333,69.37251184834123,-1.2166666666666666,Blue,2024-10-01T03:00:36.980911,"(24.6365608, 46.8002853)","(24.6250042, 46.74273400000001)"
طريق العروبة,15.799,14.416666666666666,65.75306358381503,-2.3666666666666667,Blue,2024-10-01T03:00:37.060609,"(24.7435352, 46.7525945)","(24.70444, 46.6237931)"
طريق العروبة,2.665,3.55,45.04225352112676,-0.11666666666666667,Blue,2024-10-01T03:00:37.131785,"(24.70444, 46.6237931)","(24.6894848, 46.6294245)"
Irqah,16.999,19.966666666666665,51.082136894824714,-1.3,Blue,2024-10-01T03:00:37.235708,"(24.7092533, 46.6160959)","(24.6643553, 46.48941989999999)"
الضوء,11.805,9.983333333333333,70.94824707846412,0.08333333333333333,Blue,2024-10-01T03:00:37.307571,"(24.8929013, 46.8431832)","(24.8839823, 46.8066945)"
الضوء,5.724,5.1,67.34117647058824,-0.15,Blue,2024-10-01T03:00:37.398765,"(24.8839823, 46.8066945)","(24.8693908, 46.8040022)"
الدائري الثاني,14.018,13.216666666666667,63.637831021437584,-1.15,Blue,2024-10-01T03:00:37.482977,"(24.7609512, 46.8691728)","(24.662313, 46.8567589)"
الدائري الثاني,2.949,3.35,52.81791044776119,0.016666666666666666,Blue,2024-10-01T03:00:37.571855,"(24.662313, 46.8567589)","(24.6525801, 46.8461368)"
المعيزيلة,12.541,13.966666666666667,53.875417661097856,-0.13333333333333333,Blue,2024-10-01T03:00:37.647775,"(24.8192265, 46.8603337)","(24.7577306, 46.8310673)"
المعيزيلة,3.376,4.85,41.76494845360825,-0.48333333333333334,Blue,2024-10-01T03:00:37.728085,"(24.7577306, 46.8310673)","(24.7645772, 46.8148493)"
رقوان,10.866,13.15,49.5787072243346,-2.0833333333333335,Blue,2024-10-01T03:00:37.799744,"(24.6273575, 46.61191650000001)","(24.5924335, 46.5453261)"
