road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.7,32.08020304568528,-0.8833333333333333,Blue,2024-10-01T04:00:29.461308,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-10-01T04:00:29.594583,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.416666666666668,37.807725321888405,-0.48333333333333334,Blue,2024-10-01T04:00:29.674874,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.149,20.8,69.66057692307692,2.0833333333333335,Yellow,2024-10-01T04:00:29.763275,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.0,95.4109090909091,-1.2833333333333334,Blue,2024-10-01T04:00:29.848203,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.233333333333333,38.43779527559055,0.13333333333333333,Blue,2024-10-01T04:00:29.935707,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-10-01T04:00:30.005706,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.325,18.683333333333334,74.90633363068689,3.05,Yellow,2024-10-01T04:00:30.078364,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,5.916666666666667,56.46422535211266,-0.45,Blue,2024-10-01T04:00:30.155920,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,26.883333333333333,52.158710477371365,-4.483333333333333,Blue,2024-10-01T04:00:30.229746,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.416666666666666,44.07929203539823,-0.18333333333333332,Blue,2024-10-01T04:00:30.309610,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.066,16.883333333333333,42.880157946693,3.783333333333333,Orange,2024-10-01T04:00:30.395974,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-10-01T04:00:30.468470,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.2,47.23815789473685,-2.1333333333333333,Blue,2024-10-01T04:00:30.548097,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.116666666666667,42.647166361974406,-0.48333333333333334,Blue,2024-10-01T04:00:30.623862,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.633333333333333,40.80511727078891,0.6833333333333333,Blue,2024-10-01T04:00:30.697199,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.55,41.06294820717132,-0.55,Blue,2024-10-01T04:00:30.786022,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.233333333333333,47.864305177111724,-2.1333333333333333,Blue,2024-10-01T04:00:30.858489,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.416666666666666,44.08817518248175,0.11666666666666667,Blue,2024-10-01T04:00:30.937185,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
