road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.75,31.84405063291139,-0.7166666666666667,Blue,2024-10-01T06:00:30.419134,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-10-01T06:00:30.527502,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-10-01T06:00:30.616657,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.083333333333332,68.67604743083005,2.8333333333333335,Yellow,2024-10-01T06:00:30.723763,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.166666666666666,86.26191780821918,-0.11666666666666667,Blue,2024-10-01T06:00:30.815897,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.033333333333333,40.343801652892566,-0.06666666666666667,Blue,2024-10-01T06:00:30.924354,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.033333333333335,48.4016632016632,-0.43333333333333335,Blue,2024-10-01T06:00:31.010705,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.333333333333332,72.33517241379312,4.15,Orange,2024-10-01T06:00:31.106870,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.533333333333333,51.13469387755102,0.16666666666666666,Blue,2024-10-01T06:00:31.221192,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.433333333333334,51.11300121506683,-3.933333333333333,Blue,2024-10-01T06:00:31.314349,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-10-01T06:00:31.402597,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.483333333333333,57.90761014686249,-0.16666666666666666,Blue,2024-10-01T06:00:31.493135,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.7,45.06666666666666,-0.35,Blue,2024-10-01T06:00:31.567921,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,17.066666666666666,42.071484375000004,-0.26666666666666666,Blue,2024-10-01T06:00:31.663711,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.583333333333334,40.57043478260869,-0.016666666666666666,Blue,2024-10-01T06:00:31.741058,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.75,43.24881355932204,-0.2,Blue,2024-10-01T06:00:31.824947,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.8,40.2609375,-0.3,Blue,2024-10-01T06:00:31.897412,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,14.333333333333334,40.851627906976745,-0.03333333333333333,Blue,2024-10-01T06:00:31.969787,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.166666666666666,49.508852459016396,-1.1333333333333333,Blue,2024-10-01T06:00:32.074980,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.966666666666667,49.83084832904884,-0.6833333333333333,Blue,2024-10-01T06:00:32.188480,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.6,48.05,-1.2833333333333334,Blue,2024-10-01T06:00:32.270790,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.833333333333334,71.75220779220778,-0.48333333333333334,Blue,2024-10-01T06:00:32.353144,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.833333333333333,46.080000000000005,0.0,Blue,2024-10-01T06:00:32.435261,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.433333333333334,42.61484098939929,-0.13333333333333333,Blue,2024-10-01T06:00:32.519761,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T06:00:32.673118,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.016666666666667,68.61959334565618,0.18333333333333332,Blue,2024-10-01T06:00:32.756504,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.383333333333333,67.73135935397039,-1.2666666666666666,Blue,2024-10-01T06:00:32.824844,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,4.983333333333333,71.09698996655518,-0.26666666666666666,Blue,2024-10-01T06:00:32.901583,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.008,60.916666666666664,54.1802462380301,19.833333333333332,Orange,2024-10-01T06:00:33.175013,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.233333333333334,81.35380200860831,-2.433333333333333,Blue,2024-10-01T06:00:33.265392,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,13.85,92.3826714801444,-0.7333333333333333,Blue,2024-10-01T06:00:33.340044,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,28.716666666666665,65.6106790481718,1.1833333333333333,Blue,2024-10-01T06:00:33.416888,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.916666666666666,80.65345794392523,0.43333333333333335,Yellow,2024-10-01T06:00:33.491957,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.216666666666667,43.25841784989858,-0.7166666666666667,Blue,2024-10-01T06:00:33.568118,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,4.316666666666666,29.800772200772204,1.1333333333333333,Orange,2024-10-01T06:00:33.653209,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
