road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.583333333333332,32.11506382978723,-0.8833333333333333,Blue,2024-10-01T07:00:30.226057,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.083333333333333,23.641643835616435,-0.9,Blue,2024-10-01T07:00:30.350843,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.35,37.93798449612403,-0.55,Blue,2024-10-01T07:00:30.443196,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,20.0,72.39600000000002,1.75,Yellow,2024-10-01T07:00:30.539784,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.6,90.47586206896553,-0.6833333333333333,Blue,2024-10-01T07:00:30.637474,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.716666666666667,43.781165919282515,-0.38333333333333336,Blue,2024-10-01T07:00:30.730105,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-10-01T07:00:30.817184,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,18.133333333333333,77.12205882352941,2.95,Yellow,2024-10-01T07:00:30.876388,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.366666666666666,52.47329842931937,0.0,Blue,2024-10-01T07:00:30.962883,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,28.183333333333334,49.75280898876405,-3.183333333333333,Blue,2024-10-01T07:00:31.047650,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.566666666666666,43.38815331010453,-0.03333333333333333,Blue,2024-10-01T07:00:31.142224,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.633333333333333,62.13868194842407,-1.0166666666666666,Blue,2024-10-01T07:00:31.229914,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-10-01T07:00:31.310217,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.633333333333333,38.53416815742398,1.3,Yellow,2024-10-01T07:00:31.397825,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
