road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.933333333333334,31.55117056856187,-0.5333333333333333,Blue,2024-10-01T08:00:29.960752,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.066666666666666,23.706593406593406,-0.9166666666666666,Blue,2024-10-01T08:00:30.081754,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.266666666666666,38.102076124567475,-0.6333333333333333,Blue,2024-10-01T08:00:30.185331,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.933333333333334,85.50708661417323,-1.3166666666666667,Blue,2024-10-01T08:00:30.314223,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.45,91.66113537117904,-0.8333333333333334,Blue,2024-10-01T08:00:30.414452,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.933333333333333,41.36949152542374,-0.16666666666666666,Blue,2024-10-01T08:00:30.521640,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-10-01T08:00:30.610351,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.533333333333333,96.2256880733945,-0.65,Blue,2024-10-01T08:00:30.656958,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.1,54.7672131147541,-0.26666666666666666,Blue,2024-10-01T08:00:30.753088,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,29.166666666666668,48.075428571428574,-2.2,Blue,2024-10-01T08:00:30.841843,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-10-01T08:00:30.920593,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
