road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.283333333333335,32.773379429559206,-1.3,Blue,2024-10-01T09:00:30.109545,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.05,23.77190082644628,-0.9333333333333333,Blue,2024-10-01T09:00:30.240308,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-10-01T09:00:30.344845,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.016666666666666,85.08834476003919,-1.2333333333333334,Blue,2024-10-01T09:00:30.467040,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.666666666666666,89.95885714285714,-0.6166666666666667,Blue,2024-10-01T09:00:30.603286,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.9166666666666665,41.545531914893616,-0.18333333333333332,Blue,2024-10-01T09:00:30.689163,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.1,48.20124223602483,-0.36666666666666664,Blue,2024-10-01T09:00:30.778808,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.7,95.13469387755102,-0.48333333333333334,Blue,2024-10-01T09:00:30.833490,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-10-01T09:00:30.931096,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,28.45,49.28646748681898,-2.9166666666666665,Blue,2024-10-01T09:00:31.013118,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.666666666666666,42.93931034482759,0.06666666666666667,Blue,2024-10-01T09:00:31.094870,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.75,61.52170212765957,-0.9,Blue,2024-10-01T09:00:31.181130,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-10-01T09:00:31.274472,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.233333333333334,39.379524680073125,0.9,Yellow,2024-10-01T09:00:31.378498,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.183333333333334,38.18003273322422,0.5833333333333334,Yellow,2024-10-01T09:00:31.477856,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.283333333333333,44.66184364060677,-0.6666666666666666,Blue,2024-10-01T09:00:31.562619,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.166666666666666,39.13974683544304,0.06666666666666667,Blue,2024-10-01T09:00:31.642498,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.005,15.083333333333334,59.688397790055255,0.0,Blue,2024-10-01T09:00:31.728174,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.966666666666667,42.061838440111416,0.6666666666666666,Yellow,2024-10-01T09:00:31.817672,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
