road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.516666666666666,30.654102355808284,0.05,Blue,2024-10-01T10:00:29.978359,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.1,23.57704918032787,-0.8833333333333333,Blue,2024-10-01T10:00:30.086103,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.116666666666667,38.40104620749782,-0.7833333333333333,Blue,2024-10-01T10:00:30.229371,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.25,83.93739130434784,-1.0,Blue,2024-10-01T10:00:30.364569,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.666666666666666,89.95885714285714,-0.6166666666666667,Blue,2024-10-01T10:00:30.481599,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.783333333333333,43.009691629955945,-0.31666666666666665,Blue,2024-10-01T10:00:30.650640,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.183333333333334,47.95303810504634,-0.2833333333333333,Blue,2024-10-01T10:00:30.755308,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.866666666666667,94.06816143497757,-0.31666666666666665,Blue,2024-10-01T10:00:30.805072,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.1,54.7672131147541,-0.26666666666666666,Blue,2024-10-01T10:00:30.906092,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.866666666666667,55.107991360691145,0.23333333333333334,Blue,2024-10-01T10:00:30.992194,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.266666666666667,44.792805755395676,-0.3333333333333333,Blue,2024-10-01T10:00:31.074556,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.983333333333333,60.323783031988874,-0.6833333333333333,Blue,2024-10-01T10:00:31.179463,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-10-01T10:00:31.305252,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,22.85,31.42319474835886,5.516666666666667,Orange,2024-10-01T10:00:31.403186,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.7,40.08247422680413,0.1,Blue,2024-10-01T10:00:31.539923,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.233333333333333,44.818735362997664,-0.7166666666666667,Blue,2024-10-01T10:00:31.631487,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.483333333333333,41.28224299065421,-0.6166666666666667,Blue,2024-10-01T10:00:31.734363,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.95,36.71097178683386,1.5833333333333333,Yellow,2024-10-01T10:00:31.819569,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,7.693,11.65,39.620600858369095,-0.4166666666666667,Blue,2024-10-01T10:00:31.921442,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.266666666666667,52.67445652173913,-1.3833333333333333,Blue,2024-10-01T10:00:32.015158,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.083333333333334,49.69591160220995,-1.8,Blue,2024-10-01T10:00:32.103953,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,13.216666666666667,69.67112232030264,-0.1,Blue,2024-10-01T10:00:32.203253,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.433333333333334,40.99141104294479,0.6,Yellow,2024-10-01T10:00:32.315761,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,10.75,37.395348837209305,1.1833333333333333,Yellow,2024-10-01T10:00:32.421101,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T10:00:32.519562,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.433333333333334,73.36600790513833,-0.4,Blue,2024-10-01T10:00:32.622782,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.55,66.83187250996015,-1.1,Blue,2024-10-01T10:00:32.711464,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.0,70.86000000000001,-0.25,Blue,2024-10-01T10:00:32.799591,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,38.56666666666667,85.56923076923077,-1.7166666666666666,Blue,2024-10-01T10:00:32.972905,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.8,79.41680672268907,-1.8666666666666667,Blue,2024-10-01T10:00:33.074530,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.3,89.47552447552447,-0.2833333333333333,Blue,2024-10-01T10:00:33.164225,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,26.366666666666667,71.45840707964602,-1.1666666666666667,Blue,2024-10-01T10:00:33.263206,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.283333333333333,86.82012072434608,-0.2,Blue,2024-10-01T10:00:33.376422,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,8.583333333333334,41.410485436893204,-0.35,Blue,2024-10-01T10:00:33.471731,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.6666666666666665,35.083636363636366,0.48333333333333334,Yellow,2024-10-01T10:00:33.564016,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
