road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.133333333333333,32.870383275261325,-1.3333333333333333,Blue,2024-10-01T11:00:30.333723,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.15,23.385365853658534,-0.8333333333333334,Blue,2024-10-01T11:00:30.442567,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.533333333333335,37.58191126279863,-0.36666666666666664,Blue,2024-10-01T11:00:30.566122,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.366666666666667,78.83411978221416,0.11666666666666667,Blue,2024-10-01T11:00:30.686319,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.283333333333333,85.442605156038,0.0,Blue,2024-10-01T11:00:30.800548,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.033333333333333,40.343801652892566,-0.06666666666666667,Blue,2024-10-01T11:00:30.908047,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.15,48.05201238390092,-0.31666666666666665,Blue,2024-10-01T11:00:31.011610,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.866666666666667,88.13949579831933,0.6833333333333333,Blue,2024-10-01T11:00:31.055574,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.083333333333333,54.9172602739726,-0.2833333333333333,Blue,2024-10-01T11:00:31.160524,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.95,58.75647668393783,-1.6833333333333333,Blue,2024-10-01T11:00:31.257898,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.533333333333333,43.53986013986014,-0.06666666666666667,Blue,2024-10-01T11:00:31.371265,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.7,61.78461538461539,-0.95,Blue,2024-10-01T11:00:31.465919,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
