road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.416666666666668,32.3907296137339,-1.05,Blue,2024-10-01T12:00:30.521860,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.116666666666666,23.512806539509537,-0.8666666666666667,Blue,2024-10-01T12:00:30.644162,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.55,37.549872122762146,-0.35,Blue,2024-10-01T12:00:30.749525,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.4,74.63505154639176,1.15,Yellow,2024-10-01T12:00:30.869370,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,13.416666666666666,78.22509316770187,1.1333333333333333,Yellow,2024-10-01T12:00:30.963625,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.116666666666666,39.52712550607288,0.016666666666666666,Blue,2024-10-01T12:00:31.057556,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-10-01T12:00:31.168564,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.016666666666666,82.18295788442704,1.8333333333333333,Yellow,2024-10-01T12:00:31.213499,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.166666666666667,54.17513513513513,-0.2,Blue,2024-10-01T12:00:31.314663,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.316666666666666,58.021603183627064,-1.3166666666666667,Blue,2024-10-01T12:00:31.535340,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.5,43.69263157894737,-0.1,Blue,2024-10-01T12:00:31.715953,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.983333333333333,55.67753530166881,0.3333333333333333,Blue,2024-10-01T12:00:31.796864,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.683333333333333,45.34658385093168,-0.36666666666666664,Blue,2024-10-01T12:00:31.879542,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,20.25,35.45777777777778,2.9166666666666665,Yellow,2024-10-01T12:00:31.974742,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.2,42.2608695652174,-0.4,Blue,2024-10-01T12:00:32.081007,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.083333333333334,45.296094674556215,-0.8666666666666667,Blue,2024-10-01T12:00:32.166576,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.05,39.4896551724138,-0.05,Blue,2024-10-01T12:00:32.257396,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.005,14.383333333333333,62.593279258400926,-0.7,Blue,2024-10-01T12:00:32.348963,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.433333333333334,44.02390670553935,0.13333333333333333,Blue,2024-10-01T12:00:32.437035,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.866666666666667,50.218134715025904,-0.7833333333333333,Blue,2024-10-01T12:00:32.521734,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,15.283333333333333,49.045583424209376,-1.6,Blue,2024-10-01T12:00:32.629237,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,18.716666666666665,49.197862867319685,5.4,Orange,2024-10-01T12:00:32.715581,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.716666666666667,38.9597667638484,0.8833333333333333,Yellow,2024-10-01T12:00:32.789193,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.833333333333334,45.509433962264154,-0.7333333333333333,Blue,2024-10-01T12:00:32.879791,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T12:00:33.088435,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
