road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.366666666666667,32.63235800344234,-1.2166666666666666,Blue,2024-10-01T13:00:29.960602,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.516666666666667,22.0695652173913,-0.4666666666666667,Blue,2024-10-01T13:00:30.092028,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.316666666666666,38.003451251078516,-0.5833333333333334,Blue,2024-10-01T13:00:30.250341,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,25.333333333333332,57.154736842105265,7.083333333333333,Orange,2024-10-01T13:00:30.365530,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,16.233333333333334,64.65215605749488,3.95,Orange,2024-10-01T13:00:30.480211,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.583333333333333,24.71696202531646,2.4833333333333334,Red,2024-10-01T13:00:30.597959,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.133333333333333,48.10165289256198,-0.3333333333333333,Blue,2024-10-01T13:00:30.694565,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,23.35,59.892077087794426,8.166666666666666,Red,2024-10-01T13:00:30.756072,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.233333333333333,53.59572192513369,-0.13333333333333333,Blue,2024-10-01T13:00:30.855713,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.37,27.083333333333332,51.773538461538465,-4.283333333333333,Blue,2024-10-01T13:00:30.954111,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.383333333333333,44.23587921847247,-0.21666666666666667,Blue,2024-10-01T13:00:31.037600,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,15.866666666666667,45.55966386554622,3.216666666666667,Orange,2024-10-01T13:00:31.120048,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.716666666666667,44.790184049079755,-0.3333333333333333,Blue,2024-10-01T13:00:31.237832,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.366666666666667,39.093647912885665,1.0333333333333334,Yellow,2024-10-01T13:00:31.335410,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.583333333333334,40.57043478260869,-0.016666666666666666,Blue,2024-10-01T13:00:31.435518,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.4,44.3,-0.55,Blue,2024-10-01T13:00:31.584997,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.85,40.10428015564202,-0.25,Blue,2024-10-01T13:00:31.668224,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,14.933333333333334,62.17232142857143,-0.08333333333333333,Blue,2024-10-01T13:00:31.761432,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.65,47.26197183098591,-0.65,Blue,2024-10-01T13:00:31.845988,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.033333333333333,49.575959079283884,-0.6166666666666667,Blue,2024-10-01T13:00:31.922870,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.25,46.12800000000001,-0.6333333333333333,Blue,2024-10-01T13:00:31.999509,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,24.366666666666667,37.790150478796164,11.05,Red,2024-10-01T13:00:32.080048,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,7.633333333333334,29.177292576419212,2.8,Red,2024-10-01T13:00:32.167267,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.066666666666666,44.338235294117645,-0.5,Blue,2024-10-01T13:00:32.270269,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T13:00:32.490762,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.616666666666667,71.80502901353965,-0.21666666666666667,Blue,2024-10-01T13:00:32.576528,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.3,68.19024390243902,-1.35,Blue,2024-10-01T13:00:32.644696,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.05,70.15841584158416,-0.2,Blue,2024-10-01T13:00:32.721596,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,49.11666666666667,67.18941296233459,8.833333333333334,Orange,2024-10-01T13:00:32.945118,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,33.11666666666667,57.07458480120785,7.45,Orange,2024-10-01T13:00:33.094036,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.266666666666667,89.68457943925233,-0.31666666666666665,Blue,2024-10-01T13:00:33.183252,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,32.11666666666667,58.6648676699533,4.583333333333333,Yellow,2024-10-01T13:00:33.281612,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,9.85,73.01116751269036,1.3666666666666667,Yellow,2024-10-01T13:00:33.363981,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,11.183333333333334,31.783010432190764,2.25,Orange,2024-10-01T13:00:33.458725,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.35,38.400000000000006,0.16666666666666666,Yellow,2024-10-01T13:00:33.547401,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.916666666666666,105.0485496183206,-0.9166666666666666,Blue,2024-10-01T13:00:33.626188,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,23.183333333333334,50.335298346513305,7.566666666666666,Orange,2024-10-01T13:00:33.722924,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,5.316666666666666,29.17241379310345,0.9666666666666667,Orange,2024-10-01T13:00:33.798837,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.516666666666667,66.95233022636484,-1.05,Blue,2024-10-01T13:00:33.881654,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,17.997,16.033333333333335,67.34844074844074,2.066666666666667,Yellow,2024-10-01T13:00:33.955553,"(24.9286095, 46.7150481)","(24.8262209, 46.613041)"
