road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,19.9,31.60402010050251,-0.5666666666666667,Blue,2024-10-01T14:00:30.105632,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.35,22.648818897637796,-0.6333333333333333,Blue,2024-10-01T14:00:30.265339,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-10-01T14:00:30.389806,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.142,23.2,62.436206896551724,4.633333333333334,Orange,2024-10-01T14:00:30.535248,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,20.9,50.27368421052632,7.783333333333333,Red,2024-10-01T14:00:30.624766,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.533333333333333,35.89411764705883,0.43333333333333335,Yellow,2024-10-01T14:00:30.741366,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.2,47.903703703703705,-0.26666666666666666,Blue,2024-10-01T14:00:30.825852,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.319,21.566666666666666,64.87511591962905,6.083333333333333,Orange,2024-10-01T14:00:30.895860,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.433333333333334,51.92953367875647,0.06666666666666667,Blue,2024-10-01T14:00:31.020962,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.8,59.0625,-1.8333333333333333,Blue,2024-10-01T14:00:31.108329,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.683333333333334,42.86540447504303,0.08333333333333333,Blue,2024-10-01T14:00:31.232088,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.383333333333333,58.37523553162854,-0.26666666666666666,Blue,2024-10-01T14:00:31.352055,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.816666666666667,43.199999999999996,-0.23333333333333334,Blue,2024-10-01T14:00:31.456108,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,25.333333333333332,28.342894736842105,8.0,Orange,2024-10-01T14:00:31.558049,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.833333333333334,35.88923076923077,1.2333333333333334,Yellow,2024-10-01T14:00:31.709583,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-10-01T14:00:31.790490,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.483333333333333,41.28224299065421,-0.6166666666666667,Blue,2024-10-01T14:00:31.871445,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,17.2,53.97906976744186,2.183333333333333,Yellow,2024-10-01T14:00:31.978246,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.3,40.92195121951219,1.0,Yellow,2024-10-01T14:00:32.059300,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,13.6,47.510294117647064,-0.05,Blue,2024-10-01T14:00:32.185268,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.316666666666666,45.93953013278856,-0.5666666666666667,Blue,2024-10-01T14:00:32.298640,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,16.817,21.733333333333334,46.42730061349693,3.033333333333333,Yellow,2024-10-01T14:00:32.391649,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,7.2,30.933333333333334,2.3666666666666667,Orange,2024-10-01T14:00:32.496001,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.9,45.168539325842694,-0.6666666666666666,Blue,2024-10-01T14:00:32.593992,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T14:00:32.690728,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,8.833333333333334,70.04377358490565,0.0,Blue,2024-10-01T14:00:32.813685,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,12.683333333333334,66.1293035479632,-0.9666666666666667,Blue,2024-10-01T14:00:32.897704,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.05,70.15841584158416,-0.2,Blue,2024-10-01T14:00:32.977482,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,47.083333333333336,70.09104424778762,6.8,Yellow,2024-10-01T14:00:33.101768,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,35.06666666666667,53.90076045627375,9.4,Orange,2024-10-01T14:00:33.242662,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.116666666666667,90.6375442739079,-0.4666666666666667,Blue,2024-10-01T14:00:33.346614,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.412,31.316666666666666,60.182650345928685,3.466666666666667,Yellow,2024-10-01T14:00:33.456050,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,11.05,65.08235294117647,2.566666666666667,Orange,2024-10-01T14:00:33.550319,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
طريق أبي بكر الصديق,5.924,10.1,35.19207920792079,1.1666666666666667,Yellow,2024-10-01T14:00:33.635258,"(24.7089077, 46.6195443)","(24.6981332, 46.589189)"
Dammam Road,2.144,3.2333333333333334,39.78556701030928,0.05,Blue,2024-10-01T14:00:33.723224,"(24.7863886, 46.7072824)","(24.7879849, 46.7180645)"
Khurais Road,19.113,10.85,105.69400921658986,-0.9833333333333333,Blue,2024-10-01T14:00:33.810818,"(24.9451257, 47.0000027)","(24.8457928, 46.8565916)"
Khurais Road,19.449,30.283333333333335,38.53406714364336,14.666666666666666,Red,2024-10-01T14:00:33.967619,"(24.8457928, 46.8565916)","(24.7173974, 46.7662467)"
Khurais Road,2.585,7.783333333333333,19.927194860813707,3.433333333333333,Red,2024-10-01T14:00:34.050890,"(24.7173974, 46.7662467)","(24.7110979, 46.7619824)"
طريق الأمير فيصل بن بندر بن عبدالعزيز,13.967,12.616666666666667,66.4216644649934,-0.95,Blue,2024-10-01T14:00:34.148747,"(24.9999964, 46.7079505)","(24.9286095, 46.7150481)"
