road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,21.533333333333335,29.348916408668725,0.95,Blue,2024-10-01T16:00:30.387921,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.6,21.79090909090909,-0.38333333333333336,Blue,2024-10-01T16:00:30.497067,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.516666666666666,37.61400512382579,-0.38333333333333336,Blue,2024-10-01T16:00:30.602244,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,21.633333333333333,66.93004622496149,3.3833333333333333,Yellow,2024-10-01T16:00:30.713413,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.512,18.483333333333334,56.84688908926961,5.366666666666666,Orange,2024-10-01T16:00:30.800254,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.233333333333333,26.1048128342246,2.1333333333333333,Red,2024-10-01T16:00:30.910155,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.383333333333333,47.3676500508647,-0.08333333333333333,Blue,2024-10-01T16:00:31.005393,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,19.516666666666666,71.65567890691716,4.333333333333333,Orange,2024-10-01T16:00:31.050699,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.466666666666667,51.66185567010309,0.1,Blue,2024-10-01T16:00:31.141559,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.766666666666666,55.28710725893825,0.13333333333333333,Blue,2024-10-01T16:00:31.250141,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.633333333333333,43.08788927335641,0.03333333333333333,Blue,2024-10-01T16:00:31.356829,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.05,59.990041493775934,-0.6,Blue,2024-10-01T16:00:31.440946,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8833333333333333,42.20115606936417,-0.16666666666666666,Blue,2024-10-01T16:00:31.522149,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,14.867,24.316666666666666,36.68348183687457,0.6333333333333333,Blue,2024-10-01T16:00:31.692281,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.1,38.495049504950494,0.5,Yellow,2024-10-01T16:00:31.789159,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.666666666666666,43.49454545454545,-0.2833333333333333,Blue,2024-10-01T16:00:31.873471,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.7,40.57795275590552,-0.4,Blue,2024-10-01T16:00:31.954748,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,15.474,15.866666666666667,58.51512605042017,0.85,Yellow,2024-10-01T16:00:32.042803,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.166666666666666,41.37041095890411,0.8666666666666667,Yellow,2024-10-01T16:00:32.121162,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.75,50.67764705882353,-0.9,Blue,2024-10-01T16:00:32.238846,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.283333333333335,46.03357215967247,-0.6,Blue,2024-10-01T16:00:32.339782,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.351,18.816666666666666,48.94915854738707,4.2,Orange,2024-10-01T16:00:32.430042,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,6.4,34.8,1.5666666666666667,Orange,2024-10-01T16:00:32.516844,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.9,45.168539325842694,-0.6666666666666666,Blue,2024-10-01T16:00:32.600861,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
