road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,22.65,27.76688741721854,2.183333333333333,Yellow,2024-10-01T17:00:30.164106,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.266666666666667,22.95,-0.7166666666666667,Blue,2024-10-01T17:00:30.291382,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.433333333333334,37.77530017152658,-0.4666666666666667,Blue,2024-10-01T17:00:30.404237,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,18.816666666666666,76.94880425155004,0.5666666666666667,Blue,2024-10-01T17:00:30.507945,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,14.416666666666666,72.79907514450868,2.1333333333333333,Yellow,2024-10-01T17:00:30.608542,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,7.266666666666667,22.392660550458718,3.1666666666666665,Red,2024-10-01T17:00:30.702197,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.266666666666666,47.70737704918033,-0.2,Blue,2024-10-01T17:00:30.821005,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.616666666666667,84.16128385155467,1.4333333333333333,Yellow,2024-10-01T17:00:30.869533,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.7,49.862686567164175,0.3333333333333333,Yellow,2024-10-01T17:00:30.971187,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.5,57.66101694915255,-1.1333333333333333,Blue,2024-10-01T17:00:31.063843,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.633333333333333,43.08788927335641,0.03333333333333333,Blue,2024-10-01T17:00:31.154671,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.15,59.49629629629629,-0.5,Blue,2024-10-01T17:00:31.287808,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
