road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.216666666666665,29.642733699921443,0.75,Blue,2024-10-01T18:00:30.300535,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-10-01T18:00:30.411551,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.533333333333335,37.58191126279863,-0.36666666666666664,Blue,2024-10-01T18:00:30.514306,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.483333333333334,74.3158254918734,1.2333333333333334,Yellow,2024-10-01T18:00:30.628765,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.433333333333334,84.41179624664879,0.15,Blue,2024-10-01T18:00:30.731775,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,6.95,23.41294964028777,2.85,Red,2024-10-01T18:00:30.838920,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.316666666666666,47.5611848825332,-0.15,Blue,2024-10-01T18:00:30.935442,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,17.15,81.54402332361516,1.9666666666666666,Yellow,2024-10-01T18:00:30.995649,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-10-01T18:00:31.098146,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.416666666666668,57.82436260623229,-1.2166666666666666,Blue,2024-10-01T18:00:31.200722,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.633333333333333,43.08788927335641,0.03333333333333333,Blue,2024-10-01T18:00:31.305797,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,12.216666666666667,59.17162346521146,-0.43333333333333335,Blue,2024-10-01T18:00:31.392365,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.966666666666667,41.01573033707865,-0.08333333333333333,Blue,2024-10-01T18:00:31.471811,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,18.716666666666665,38.3626001780944,1.3833333333333333,Yellow,2024-10-01T18:00:31.560255,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,10.333333333333334,37.6258064516129,0.7333333333333333,Yellow,2024-10-01T18:00:31.641716,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.933333333333334,42.71785714285714,-0.016666666666666666,Blue,2024-10-01T18:00:31.725859,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.716666666666667,40.52477064220184,-0.38333333333333336,Blue,2024-10-01T18:00:31.806125,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.766666666666667,45.864751958224545,-1.6,Blue,2024-10-01T18:00:31.899673,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.733333333333333,39.52931937172775,1.4333333333333333,Yellow,2024-10-01T18:00:31.988022,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
