road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,21.05,29.877434679334915,0.5833333333333334,Blue,2024-10-01T19:00:30.429459,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.983333333333333,24.03676880222841,-1.0,Blue,2024-10-01T19:00:30.544977,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.416666666666668,37.807725321888405,-0.48333333333333334,Blue,2024-10-01T19:00:30.657875,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.05,84.92199413489736,-1.2,Blue,2024-10-01T19:00:30.781984,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.683333333333334,89.83052781740372,-0.6,Blue,2024-10-01T19:00:30.881490,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,5.266666666666667,30.896202531645574,1.1666666666666667,Orange,2024-10-01T19:00:31.004364,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.35,47.46422018348623,-0.11666666666666667,Blue,2024-10-01T19:00:31.117690,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.783333333333333,94.59842164599775,-0.4,Blue,2024-10-01T19:00:31.160247,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.566666666666666,50.875126903553294,0.2,Blue,2024-10-01T19:00:31.285266,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,30.45,55.86206896551725,-0.18333333333333332,Blue,2024-10-01T19:00:31.382400,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.45,43.923809523809524,-0.15,Blue,2024-10-01T19:00:31.472322,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.716666666666667,61.696728307254624,-0.9333333333333333,Blue,2024-10-01T19:00:31.563338,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,3.0,40.559999999999995,-0.05,Blue,2024-10-01T19:00:31.646907,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
