road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.55,30.604379562043793,0.08333333333333333,Blue,2024-10-01T21:00:30.295750,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.216666666666667,23.134584450402144,-0.7666666666666667,Blue,2024-10-01T21:00:30.395136,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.783333333333335,37.10699241786015,-0.11666666666666667,Blue,2024-10-01T21:00:30.494106,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.95,80.6640668523677,-0.3,Blue,2024-10-01T21:00:30.608167,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,12.3,85.32682926829268,0.016666666666666666,Blue,2024-10-01T21:00:30.711727,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.966666666666667,41.0218487394958,-0.13333333333333333,Blue,2024-10-01T21:00:30.812865,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.466666666666665,47.127935222672065,0.0,Blue,2024-10-01T21:00:30.915514,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,15.033333333333333,93.02527716186253,-0.15,Blue,2024-10-01T21:00:30.954830,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.783333333333333,49.25012285012285,0.4166666666666667,Yellow,2024-10-01T21:00:31.057466,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,31.016666666666666,45.08995163890382,-1.0666666666666667,Blue,2024-10-01T21:00:31.204914,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.683333333333334,42.86540447504303,0.08333333333333333,Blue,2024-10-01T21:00:31.298635,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.783333333333333,61.347666195190946,-0.8666666666666667,Blue,2024-10-01T21:00:31.382375,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.9166666666666665,41.71885714285714,-0.13333333333333333,Blue,2024-10-01T21:00:31.462944,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.183333333333334,44.36786817713697,-1.15,Blue,2024-10-01T21:00:31.548243,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.866666666666667,43.849624060150376,-0.7333333333333333,Blue,2024-10-01T21:00:31.631278,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.516666666666667,43.94397244546498,-0.43333333333333335,Blue,2024-10-01T21:00:31.714184,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.1,39.33893129770993,0.0,Blue,2024-10-01T21:00:31.795568,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,17.2,34.04302325581396,2.8333333333333335,Yellow,2024-10-01T21:00:31.885021,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,11.833333333333334,42.535774647887315,0.5333333333333333,Blue,2024-10-01T21:00:31.984701,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.533333333333333,51.55372340425532,-1.1166666666666667,Blue,2024-10-01T21:00:32.078114,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.166666666666668,46.36577319587628,-0.7166666666666667,Blue,2024-10-01T21:00:32.160993,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,21.616666666666667,42.597686969930606,8.3,Red,2024-10-01T21:00:32.248848,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.35,41.629906542056084,0.5166666666666667,Yellow,2024-10-01T21:00:32.342501,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.05,44.41988950276243,-0.5166666666666667,Blue,2024-10-01T21:00:32.424422,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T21:00:32.516576,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.566666666666666,64.67456445993031,0.7333333333333333,Yellow,2024-10-01T21:00:32.609389,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,13.683333333333334,61.29646772228988,0.03333333333333333,Blue,2024-10-01T21:00:32.680692,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.65,62.70796460176991,0.4,Yellow,2024-10-01T21:00:32.780459,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,42.36666666666667,77.894256490952,2.0833333333333335,Yellow,2024-10-01T21:00:32.875848,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,24.733333333333334,76.4199460916442,-0.9333333333333333,Blue,2024-10-01T21:00:32.979773,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.366666666666667,89.06032482598607,-0.21666666666666667,Blue,2024-10-01T21:00:33.052465,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
طريق أبي بكر الصديق,31.402,27.45,68.63825136612023,-0.08333333333333333,Blue,2024-10-01T21:00:33.132223,"(24.9666636, 46.7278106)","(24.796827, 46.5643251)"
طريق أبي بكر الصديق,11.986,8.583333333333334,83.78563106796116,0.1,Blue,2024-10-01T21:00:33.218334,"(24.796827, 46.5643251)","(24.7089077, 46.6195443)"
