road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.716666666666665,33.60213713268032,-1.75,Blue,2024-10-01T22:00:30.403671,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-10-01T22:00:30.523714,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.966666666666665,36.766277128547586,0.06666666666666667,Blue,2024-10-01T22:00:30.624456,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.283333333333335,83.775506268081,-0.9666666666666667,Blue,2024-10-01T22:00:30.750834,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.566666666666666,90.73659942363113,-0.7166666666666667,Blue,2024-10-01T22:00:30.849470,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.716666666666667,43.781165919282515,-0.38333333333333336,Blue,2024-10-01T22:00:30.969081,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.366666666666667,47.41588594704684,-0.1,Blue,2024-10-01T22:00:31.074001,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.666666666666666,95.3509090909091,-0.5166666666666667,Blue,2024-10-01T22:00:31.133992,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,7.033333333333333,47.49952606635071,0.6666666666666666,Yellow,2024-10-01T22:00:31.230956,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,31.95,53.23943661971831,1.3166666666666667,Blue,2024-10-01T22:00:31.328492,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.316666666666666,44.552415026833636,-0.2833333333333333,Blue,2024-10-01T22:00:31.410686,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.566666666666666,62.49682997118156,-1.0833333333333333,Blue,2024-10-01T22:00:31.502091,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8333333333333335,42.94588235294117,-0.21666666666666667,Blue,2024-10-01T22:00:31.576305,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.666666666666666,45.83106382978723,-1.6666666666666667,Blue,2024-10-01T22:00:31.674417,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.583333333333334,45.297087378640775,-1.0166666666666666,Blue,2024-10-01T22:00:31.752701,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.033333333333333,42.433702882483374,0.08333333333333333,Blue,2024-10-01T22:00:31.846466,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,14.016666666666667,36.76623067776457,0.9166666666666666,Yellow,2024-10-01T22:00:31.914355,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,15.266666666666667,38.354148471615716,0.9,Yellow,2024-10-01T22:00:31.992225,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,12.3,40.92195121951219,1.0,Yellow,2024-10-01T22:00:32.074693,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.183333333333334,53.03474692202462,-1.4666666666666666,Blue,2024-10-01T22:00:32.150644,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.033333333333335,46.751351351351346,-0.85,Blue,2024-10-01T22:00:32.224322,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,19.033333333333335,48.37933450087565,5.716666666666667,Orange,2024-10-01T22:00:32.299385,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,5.75,38.73391304347826,0.9166666666666666,Yellow,2024-10-01T22:00:32.382977,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,9.233333333333333,43.537906137184116,-0.3333333333333333,Blue,2024-10-01T22:00:32.462123,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
طريق خزام,11.258,13.066666666666666,51.69489795918367,-0.016666666666666666,Blue,2024-10-01T22:00:32.556460,"(25.0525287, 46.7972918)","(25.0461094, 46.7471065)"
طريق خزام,10.312,9.65,64.1160621761658,0.8166666666666667,Yellow,2024-10-01T22:00:32.653689,"(25.0461094, 46.7471065)","(24.9628648, 46.7860364)"
طريق خزام,13.979,14.066666666666666,59.6260663507109,0.4166666666666667,Blue,2024-10-01T22:00:32.722373,"(24.9628648, 46.7860364)","(24.8918964, 46.7151761)"
طريق خزام,5.905,5.316666666666666,66.63949843260188,0.06666666666666667,Blue,2024-10-01T22:00:32.798295,"(24.8918964, 46.7151761)","(24.8702366, 46.6964474)"
Northern Ring Road,55.002,40.05,82.4,-0.23333333333333334,Blue,2024-10-01T22:00:32.886707,"(24.954535, 47.0142416)","(24.7258606, 46.583506)"
Jeddah Road,31.502,23.9,79.08451882845188,-1.7666666666666666,Blue,2024-10-01T22:00:32.974897,"(24.6942446, 46.641401)","(24.5267888, 46.438767)"
Jeddah Road,21.325,14.266666666666667,89.68457943925233,-0.31666666666666665,Blue,2024-10-01T22:00:33.042445,"(24.5267888, 46.438767)","(24.5263866, 46.43865479999999)"
