road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.9,33.27619047619047,-1.5666666666666667,Blue,2024-10-01T23:00:30.022730,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.0,23.969999999999995,-0.9833333333333333,Blue,2024-10-01T23:00:30.120312,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.733333333333334,37.20101351351351,-0.16666666666666666,Blue,2024-10-01T23:00:30.212108,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.2,84.18139534883721,-1.05,Blue,2024-10-01T23:00:30.329693,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.516666666666667,91.13053545586108,-0.7666666666666667,Blue,2024-10-01T23:00:30.435767,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.4833333333333334,46.713875598086126,-0.6166666666666667,Blue,2024-10-01T23:00:30.533142,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-10-01T23:00:30.627896,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.716666666666667,95.02695356738391,-0.4666666666666667,Blue,2024-10-01T23:00:30.670378,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.866666666666666,48.65242718446602,0.5,Yellow,2024-10-01T23:00:30.762566,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,30.083333333333332,46.48886426592798,-2.0,Blue,2024-10-01T23:00:30.869403,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.366666666666667,44.31459074733096,-0.23333333333333334,Blue,2024-10-01T23:00:30.970627,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.516666666666667,62.768162083936325,-1.1333333333333333,Blue,2024-10-01T23:00:31.048014,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.85,42.694736842105264,-0.2,Blue,2024-10-01T23:00:31.117713,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.9,45.158490566037734,-1.4333333333333333,Blue,2024-10-01T23:00:31.214504,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.75,44.434285714285714,-0.85,Blue,2024-10-01T23:00:31.293518,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,15.0,42.528,0.05,Blue,2024-10-01T23:00:31.384919,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.616666666666667,37.846266829865364,0.5166666666666667,Blue,2024-10-01T23:00:31.477094,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,13.183333333333334,44.415170670037924,-1.1833333333333333,Blue,2024-10-01T23:00:31.567210,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.75,46.82232558139535,-0.55,Blue,2024-10-01T23:00:31.642231,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.366666666666667,52.248517520215636,-1.2833333333333334,Blue,2024-10-01T23:00:31.721230,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.183333333333334,46.31802265705458,-0.7,Blue,2024-10-01T23:00:31.798492,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,16.216666666666665,56.782322713257976,2.9,Orange,2024-10-01T23:00:31.873365,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.983333333333333,44.69297658862876,0.15,Blue,2024-10-01T23:00:31.959716,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
شارع منصور الحازمي,6.7,8.933333333333334,45.0,-0.6333333333333333,Blue,2024-10-01T23:00:32.038767,"(24.8950573, 46.6389164)","(24.8875026, 46.6360641)"
