road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.416666666666668,34.149502262443434,-2.05,Blue,2024-10-02T01:00:30.320537,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,5.966666666666667,24.103910614525137,-1.0166666666666666,Blue,2024-10-02T01:00:30.415208,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.566666666666666,37.51788756388415,-0.3333333333333333,Blue,2024-10-02T01:00:30.515439,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.166666666666668,84.34485436893203,-1.0833333333333333,Blue,2024-10-02T01:00:30.622811,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.266666666666667,93.15266272189349,-1.0166666666666666,Blue,2024-10-02T01:00:30.719850,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.65,44.58082191780822,-0.45,Blue,2024-10-02T01:00:30.813402,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.466666666666665,47.127935222672065,0.0,Blue,2024-10-02T01:00:30.910524,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.55,96.11546391752576,-0.6333333333333333,Blue,2024-10-02T01:00:30.956669,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.433333333333334,51.92953367875647,0.06666666666666667,Blue,2024-10-02T01:00:31.043107,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,29.65,47.168296795952784,-2.433333333333333,Blue,2024-10-02T01:00:31.127456,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-10-02T01:00:31.199771,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.466666666666667,63.04186046511628,-1.1833333333333333,Blue,2024-10-02T01:00:31.295076,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.75,44.24727272727273,-0.3,Blue,2024-10-02T01:00:31.368592,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,16.016666666666666,44.82955254942768,-1.3166666666666667,Blue,2024-10-02T01:00:31.456380,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,8.9,43.68539325842696,-0.7,Blue,2024-10-02T01:00:31.533730,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.566666666666666,43.79313501144164,-0.38333333333333336,Blue,2024-10-02T01:00:31.616396,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,13.6,37.892647058823535,0.5,Blue,2024-10-02T01:00:31.689848,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
