road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,18.166666666666668,34.619449541284396,-2.3,Blue,2024-10-02T02:00:29.989725,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.116666666666666,23.512806539509537,-0.8666666666666667,Blue,2024-10-02T02:00:30.077311,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.533333333333335,37.58191126279863,-0.36666666666666664,Blue,2024-10-02T02:00:30.171429,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,17.15,84.42682215743442,-1.1,Blue,2024-10-02T02:00:30.298492,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.216666666666667,93.56790490341754,-1.0666666666666667,Blue,2024-10-02T02:00:30.396766,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,3.55,45.83661971830986,-0.55,Blue,2024-10-02T02:00:30.493923,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.566666666666666,46.843460764587526,0.1,Blue,2024-10-02T02:00:30.587087,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.7,95.13469387755102,-0.48333333333333334,Blue,2024-10-02T02:00:30.653107,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.516666666666667,51.26547314578004,0.15,Blue,2024-10-02T02:00:30.734677,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,29.4,57.85714285714286,-1.2333333333333334,Blue,2024-10-02T02:00:30.850260,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
