road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.482,20.883333333333333,30.115881883479645,0.4166666666666667,Blue,2024-10-02T03:00:30.106951,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.133333333333334,23.448913043478257,-0.85,Blue,2024-10-02T03:00:30.210863,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.033333333333335,38.56917688266199,-0.8666666666666667,Blue,2024-10-02T03:00:30.326268,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,16.85,85.92997032640949,-1.4,Blue,2024-10-02T03:00:30.428469,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,10.9,96.28623853211009,-1.3833333333333333,Blue,2024-10-02T03:00:30.512960,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.133333333333334,39.36774193548386,0.03333333333333333,Blue,2024-10-02T03:00:30.614223,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.216666666666665,47.85447070914697,-0.25,Blue,2024-10-02T03:00:30.686787,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,14.316666666666666,97.68195576251455,-0.8666666666666667,Blue,2024-10-02T03:00:30.725512,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.05,55.2198347107438,-0.31666666666666665,Blue,2024-10-02T03:00:30.821633,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,23.309,28.016666666666666,49.91814396192743,-4.066666666666666,Blue,2024-10-02T03:00:30.893548,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,10.5,39.53142857142858,0.9,Yellow,2024-10-02T03:00:31.007450,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,12.048,11.683333333333334,61.872753209700434,-0.9666666666666667,Blue,2024-10-02T03:00:31.082872,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
