road_name,distance_km,duration_in_traffic_min,speed_kmh,delay_min,traffic_condition,timestamp,start_point,end_point
Al Nadwah,10.533,19.483333333333334,32.436954662104355,-1.1,Blue,2024-10-02T04:00:30.148102,"(24.8334879, 46.92008999999999)","(24.7888572, 46.8588979)"
Al Nadwah,2.397,6.166666666666667,23.322162162162158,-0.8166666666666667,Blue,2024-10-02T04:00:30.271078,"(24.7888572, 46.8588979)","(24.7743639, 46.8608065)"
King Abdul Aziz Road,12.235,19.3,38.03626943005181,-0.6,Blue,2024-10-02T04:00:30.371494,"(24.999486, 46.72798419999999)","(24.9286095, 46.7150481)"
King Abdul Aziz Road,24.132,19.25,75.21662337662337,1.0,Yellow,2024-10-02T04:00:30.475026,"(24.9286095, 46.7150481)","(24.796827, 46.5643251)"
King Abdul Aziz Road,17.492,11.333333333333334,92.60470588235293,-0.95,Blue,2024-10-02T04:00:30.576270,"(24.796827, 46.5643251)","(24.6575642, 46.5630617)"
King Abdul Aziz Road,2.712,4.083333333333333,39.849795918367356,-0.016666666666666666,Blue,2024-10-02T04:00:30.669715,"(24.6575642, 46.5630617)","(24.6420561, 46.5492114)"
King Salman Road,12.934,16.233333333333334,47.80533880903491,-0.23333333333333334,Blue,2024-10-02T04:00:30.749819,"(24.9792168, 46.724687)","(24.9229714, 46.7204701)"
King Salman Road,23.308,16.65,83.9927927927928,1.4666666666666666,Yellow,2024-10-02T04:00:30.797217,"(24.9229714, 46.7204701)","(24.796827, 46.5643251)"
King Salman Road,5.568,6.116666666666666,54.61798365122616,-0.25,Blue,2024-10-02T04:00:30.878858,"(24.796827, 46.5643251)","(24.796728, 46.5538512)"
أبي نصر الفارابي,28.35,28.75,59.165217391304346,-1.8833333333333333,Blue,2024-10-02T04:00:30.968123,"(24.6555035, 46.8913239)","(24.6407624, 46.8837473)"
الأشقر,6.918,9.55,43.46387434554973,-0.05,Blue,2024-10-02T04:00:31.072643,"(24.9089055, 46.9546838)","(24.8775235, 46.9313462)"
الأمير سعود بن عبدالله بن جلوي,13.827,14.583333333333334,56.88822857142857,-0.31666666666666665,Blue,2024-10-02T04:00:31.173332,"(24.8687957, 46.6632926)","(24.8297783, 46.60033199999999)"
الأمير سعود بن عبدالله بن جلوي,2.028,2.8666666666666667,42.44651162790697,-0.18333333333333332,Blue,2024-10-02T04:00:31.282379,"(24.8297783, 46.60033199999999)","(24.8422131, 46.604361)"
العزايزه,11.967,15.783333333333333,45.49229144667371,-1.55,Blue,2024-10-02T04:00:31.386906,"(24.6131743, 46.8134172)","(24.5881304, 46.7601929)"
العزايزه,6.48,9.6,40.5,0.0,Blue,2024-10-02T04:00:31.488376,"(24.5881304, 46.7601929)","(24.5615576, 46.7376921)"
العوفي,10.632,14.816666666666666,43.054218222722156,-0.13333333333333333,Blue,2024-10-02T04:00:31.566134,"(24.9529452, 46.9410446)","(24.9043881, 46.91483119999999)"
العوفي,8.589,12.683333333333334,40.63127463863338,-0.4166666666666667,Blue,2024-10-02T04:00:31.675077,"(24.9043881, 46.91483119999999)","(24.8796104, 46.8908382)"
بنها,9.759,12.183333333333334,48.060738714090284,-2.183333333333333,Blue,2024-10-02T04:00:31.769861,"(24.6113886, 46.8379204)","(24.5988688, 46.8215)"
تقي الدين التميمي,8.389,10.583333333333334,47.55968503937007,-0.7166666666666667,Blue,2024-10-02T04:00:31.846704,"(24.663953, 46.5257629)","(24.6367317, 46.4820289)"
شارع الشيخ عبدالله بن جبرين,10.769,12.933333333333334,49.95927835051546,-0.7166666666666667,Blue,2024-10-02T04:00:31.961361,"(24.8353793, 46.6101818)","(24.8233879, 46.5807562)"
شارع شبه الجزيرة,12.493,16.316666666666666,45.93953013278856,-0.5666666666666667,Blue,2024-10-02T04:00:32.038502,"(24.7104028, 46.9117787)","(24.7163466, 46.8774609)"
شارع شبه الجزيرة,15.347,12.3,74.86341463414634,-1.0166666666666666,Blue,2024-10-02T04:00:32.120451,"(24.7163466, 46.8774609)","(24.632121, 46.8075755)"
شارع شبه الجزيرة,3.712,4.533333333333333,49.129411764705885,-0.3,Blue,2024-10-02T04:00:32.200336,"(24.632121, 46.8075755)","(24.6055601, 46.8177934)"
